cohort,class_id,analysis_tier,manuscript_role,display_policy,label_action,phase15_label_action,phase15_lock_status,label_en_current,label_zh_current,label_confidence,manual_review_reason,phase15_review_reason,phase14_stability_flag_count,phase14_flagged_outcomes,phase14_flagged_adjustments,phase14_flag_reasons,phase14_effect_ratio_min,phase14_effect_ratio_max
KLoSA,KLoSA_C2,bridge_sensitivity,bridge_sensitivity_validation,sensitivity_or_supplement,manual_review_before_lock,manual_review_before_lock,manual_review_required,cardiometabolic-dominant intermediate-burden,心代谢/慢病主导型中等负担,provisional,mortality HR drift; bridge sensitivity cohort,mortality HR drift; bridge sensitivity cohort; Phase 14 covariate sensitivity stability flag; Bridge-sensitivity cohort display needs explicit footnote,1,all_cause_mortality,minimal_plus_bmi,direction_change,1.0783,1.0783
KLoSA,KLoSA_C3,bridge_sensitivity,bridge_sensitivity_validation,sensitivity_or_supplement,lock_candidate,lock_candidate,ready_for_manual_lock,functional/cardiometabolic-dominant high-burden,功能/心代谢/慢病主导型高负担,high,bridge sensitivity cohort,bridge sensitivity cohort; Bridge-sensitivity cohort display needs explicit footnote,0,,,,,
LASI,LASI_C1,strict_primary,baseline_profile_only_current_csv,baseline_profile_table_only,hold_until_followup_available,hold_until_followup_available,hold_baseline_only,intermediate-burden with spared cardiometabolic,心代谢/慢病相对保留的中等负担,moderate,baseline profile only in current CSV pass,baseline profile only in current CSV pass; Baseline-profile only until follow-up validation is available,0,,,,,
LASI,LASI_C2,strict_primary,baseline_profile_only_current_csv,baseline_profile_table_only,hold_until_followup_available,hold_until_followup_available,hold_baseline_only,cardiometabolic-dominant intermediate-burden,心代谢/慢病主导型中等负担,high,baseline profile only in current CSV pass,baseline profile only in current CSV pass; Baseline-profile only until follow-up validation is available,0,,,,,
LASI,LASI_C3,strict_primary,baseline_profile_only_current_csv,baseline_profile_table_only,hold_until_followup_available,hold_until_followup_available,hold_baseline_only,cardiometabolic-dominant elevated-burden,心代谢/慢病主导型较高负担,high,baseline profile only in current CSV pass,baseline profile only in current CSV pass; Baseline-profile only until follow-up validation is available,0,,,,,
MHAS,MHAS_C1,strict_primary,primary_validation,main_results,lock_candidate,lock_candidate,ready_for_manual_lock,intermediate-burden with spared cardiometabolic,心代谢/慢病相对保留的中等负担,moderate,,,0,,,,,
MHAS,MHAS_C2,strict_primary,primary_validation,main_results,lock_candidate,lock_candidate,ready_for_manual_lock,cardiometabolic-dominant intermediate-burden,心代谢/慢病主导型中等负担,high,,,0,,,,,
MHAS,MHAS_C3,strict_primary,primary_validation,main_results,lock_candidate,lock_candidate,ready_for_manual_lock,cardiometabolic-dominant elevated-burden,心代谢/慢病主导型较高负担,high,,,0,,,,,
MHAS,MHAS_C4,strict_primary,primary_validation,main_results,lock_candidate,lock_candidate,ready_for_manual_lock,functional-dominant elevated-burden,功能主导型较高负担,moderate,,,0,,,,,
MHAS,MHAS_C5,strict_primary,primary_validation,main_results,lock_candidate,lock_candidate,ready_for_manual_lock,functional-dominant elevated-burden,功能主导型较高负担,moderate,,,0,,,,,
SHARE,SHARE_C1,bridge_sensitivity,bridge_sensitivity_validation,sensitivity_or_supplement,lock_candidate,lock_candidate,ready_for_manual_lock,low-burden with spared cardiometabolic,心代谢/慢病相对保留的低负担,moderate,bridge sensitivity cohort,bridge sensitivity cohort; Bridge-sensitivity cohort display needs explicit footnote,0,,,,,
SHARE,SHARE_C2,bridge_sensitivity,bridge_sensitivity_validation,sensitivity_or_supplement,lock_candidate,lock_candidate,ready_for_manual_lock,cardiometabolic-dominant intermediate-burden,心代谢/慢病主导型中等负担,high,bridge sensitivity cohort,bridge sensitivity cohort; Bridge-sensitivity cohort display needs explicit footnote,0,,,,,
SHARE,SHARE_C3,bridge_sensitivity,bridge_sensitivity_validation,sensitivity_or_supplement,lock_candidate,lock_candidate,ready_for_manual_lock,affective-dominant intermediate-burden,心理/抑郁主导型中等负担,high,bridge sensitivity cohort,bridge sensitivity cohort; Bridge-sensitivity cohort display needs explicit footnote,0,,,,,
SHARE,SHARE_C4,bridge_sensitivity,bridge_sensitivity_validation,sensitivity_or_supplement,lock_candidate,manual_review_before_lock,manual_review_required,elevated-burden with spared functional,功能相对保留的较高负担,moderate,bridge sensitivity cohort,bridge sensitivity cohort; Phase 14 covariate sensitivity stability flag; Bridge-sensitivity cohort display needs explicit footnote,2,functional_deterioration_ge_0_5sd,expanded_core; minimal_plus_bmi,material_log_change,0.7787,0.7797
SHARE,SHARE_C5,bridge_sensitivity,bridge_sensitivity_validation,sensitivity_or_supplement,manual_review_before_lock,manual_review_before_lock,manual_review_required,functional/cognitive-dominant high-burden,功能/认知主导型高负担,provisional,mortality HR drift; bridge sensitivity cohort,mortality HR drift; bridge sensitivity cohort; Phase 14 covariate sensitivity stability flag; Bridge-sensitivity cohort display needs explicit footnote,3,functional_deterioration_ge_0_5sd,expanded_core; minimal_core; minimal_plus_bmi,direction_change+significance_change+material_log_change; significance_change,0.7578,0.8558
