cohort,domain,construct,variable,role,direction,harmonization_action,baseline_women50_rows,nonmissing,nonmissing_pct,sample_values,variable_label
HRS,cognitive,global_cognition,cogtot,primary,higher_better,Reverse standardized score so higher harmonized domain score means worse cognition.,11005,5613,51.0,14|27|28|16|18|24|21|17,认知能力(35分)
HRS,cognitive,global_cognition,cog27,primary,higher_better,Reverse standardized score so higher harmonized domain score means worse cognition.,11005,10214,92.81,10|18|17|13|21|16|11|19,认知能力27分量表
HRS,cognitive,memory_orientation,memory_z,primary,higher_better,Reverse standardized memory/orientation/numeracy scores; combine only after confirming comparable construction.,11005,10214,92.81,-0.498960793018341|0.296168595552444|0.561211705207825|-0.2339176684618|1.09129798412323|0.0311254598200321|0.826254844665527|2.15147042274475,记忆力z标准化(ref基线)
HRS,cognitive,memory_orientation,orient_z,primary,higher_better,Reverse standardized memory/orientation/numeracy scores; combine only after confirming comparable construction.,11005,5613,51.0,-2.79946184158325|0.427330076694489|-1.1860659122467|-6.02625370025635|-4.41285800933838,定向z标准化(ref基线)
HRS,cognitive,memory_orientation,tcog_z_z,primary,higher_better,Reverse standardized memory/orientation/numeracy scores; combine only after confirming comparable construction.,11005,10214,92.81,-2.27740597724915|0.72778445482254|0.547473847866058|0.37394192814827|-0.680806756019592|1.24838006496429|0.200410038232803|-1.38849174976349,总体认知能力z标准化(ref基线)
HRS,cognitive,memory_orientation,ser7,primary,higher_better,Reverse standardized memory/orientation/numeracy scores; combine only after confirming comparable construction.,11005,10214,92.81,0|5|4|2|3|1,认知/减法(5分)
HRS,cognitive,memory_orientation,imrc,primary,higher_better,Reverse standardized memory/orientation/numeracy scores; combine only after confirming comparable construction.,11005,10214,92.81,5|6|8|9|4|3|10|7,认知/即时单词回忆10分
HRS,cognitive,memory_orientation,dlrc,primary,higher_better,Reverse standardized memory/orientation/numeracy scores; combine only after confirming comparable construction.,11005,10214,92.81,3|5|6|4|8|7|9|2,认知/延迟单词回忆(10分)
HRS,cognitive,memory_orientation,orient,primary,higher_better,Reverse standardized memory/orientation/numeracy scores; combine only after confirming comparable construction.,11005,5613,51.0,2|4|3|0|1,正确命名月、月、年和星期的能力4分
HRS,cognitive,dementia_indicator,dementia,supporting,higher_worse,Do not use as a direct substitute for continuous cognition in the primary class model.,11005,10214,92.81,2|3|1,痴呆症/认知27分类
HRS,cognitive,dementia_indicator,demene,supporting,higher_worse,Do not use as a direct substitute for continuous cognition in the primary class model.,11005,0,0.0,,医生曾诊断痴呆症
HRS,affective,depressive_symptoms,cesd,primary,higher_worse,Use depressive symptom score or indicator; standardize within cohort/wave.,11005,10210,92.78,1|0|2|6|8|7|3|5,CESD心理健康8分(得分越高越差)
HRS,affective,depressive_symptoms,depressive,primary,higher_worse,Use depressive symptom score or indicator; standardize within cohort/wave.,11005,10210,92.78,0|1,CESD是否抑郁
HRS,affective,psychological_or_life_satisfaction,psyche,supporting,label_check_required,Use only after label/range checks; not a direct replacement for CES-D in primary models.,11005,11005,100.0,1|0,医生曾诊断情绪、神经或精神问题
HRS,affective,psychological_or_life_satisfaction,satlifez,supporting,label_check_required,Use only after label/range checks; not a direct replacement for CES-D in primary models.,11005,0,0.0,,生活满意度Z标准化
HRS,cardiometabolic_chronic,chronic_disease_indicators,hibpe,primary,higher_worse,Create count/proportion of available chronic cardiometabolic conditions.,11005,11005,100.0,0|1,医生曾诊断高血压
HRS,cardiometabolic_chronic,chronic_disease_indicators,diabe,primary,higher_worse,Create count/proportion of available chronic cardiometabolic conditions.,11005,11005,100.0,0|1,医生曾诊断糖尿病或高血糖
HRS,cardiometabolic_chronic,chronic_disease_indicators,hearte,primary,higher_worse,Create count/proportion of available chronic cardiometabolic conditions.,11005,11005,100.0,0|1,医生曾诊断心脏病
HRS,cardiometabolic_chronic,chronic_disease_indicators,stroke,primary,higher_worse,Create count/proportion of available chronic cardiometabolic conditions.,11005,11005,100.0,0|1,医生曾诊断中风或短暂性脑缺血发作
HRS,cardiometabolic_chronic,chronic_disease_indicators,hchole,primary,higher_worse,Create count/proportion of available chronic cardiometabolic conditions.,11005,0,0.0,,是否曾经有过高胆固醇
HRS,cardiometabolic_chronic,chronic_disease_indicators,cancre,primary,higher_worse,Create count/proportion of available chronic cardiometabolic conditions.,11005,11005,100.0,0|1,医生曾诊断癌症或者恶性肿瘤
HRS,cardiometabolic_chronic,anthropometry_blood_pressure,bmi,supporting,continuous_risk_check,Use as secondary cardiometabolic severity components after cohort-specific range checks.,11005,10761,97.78,17.4|34.9|25.8|23.9|22.2|25.7|20|30,自报BMI
HRS,cardiometabolic_chronic,anthropometry_blood_pressure,mbmi,supporting,continuous_risk_check,Use as secondary cardiometabolic severity components after cohort-specific range checks.,11005,0,0.0,,测量BMI
HRS,cardiometabolic_chronic,anthropometry_blood_pressure,systo,supporting,continuous_risk_check,Use as secondary cardiometabolic severity components after cohort-specific range checks.,11005,0,0.0,,收缩压读数的平均值
HRS,cardiometabolic_chronic,anthropometry_blood_pressure,diasto,supporting,continuous_risk_check,Use as secondary cardiometabolic severity components after cohort-specific range checks.,11005,0,0.0,,舒张压读数的平均值
KLoSA,functional,frailty_or_performance,gripsum,supporting,mixed_check_labels,Use for sensitivity or performance-anchored functional score after label/range checks.,4344,3713,85.47,17|21|15|27|14|16|18|20,优势手握力
KLoSA,functional,frailty_or_performance,gripcomp,supporting,mixed_check_labels,Use for sensitivity or performance-anchored functional score after label/range checks.,4344,4175,96.11,1|0,是否愿意并且能够完成握力测试
KLoSA,functional,frailty_or_performance,fall,supporting,mixed_check_labels,Use for sensitivity or performance-anchored functional score after label/range checks.,4344,4344,100.0,0|1,过去2年内是否跌倒
KLoSA,cognitive,global_cognition,cog_total,primary,higher_better,Reverse standardized score so higher harmonized domain score means worse cognition.,4344,4115,94.73,30|25|22|21|23|28|29|12,总认知得分
KLoSA,cognitive,memory_orientation,ser7,primary,higher_better,Reverse standardized memory/orientation/numeracy scores; combine only after confirming comparable construction.,4344,4115,94.73,5|4|2|1|3|0,认知/注意力和计算力
KLoSA,cognitive,dementia_indicator,dementia,supporting,higher_worse,Do not use as a direct substitute for continuous cognition in the primary class model.,4344,4115,94.73,3|2|1,认知障碍
KLoSA,affective,depressive_symptoms,cesd10a,primary,higher_worse,Use depressive symptom score or indicator; standardize within cohort/wave.,4344,4305,99.1,10|6|8|17|16|4|3|13,CESD10(分数越高越抑郁)
KLoSA,affective,depressive_symptoms,cesd10b,primary,higher_worse,Use depressive symptom score or indicator; standardize within cohort/wave.,4344,0,0.0,,CESD10(分数越高越抑郁)
KLoSA,affective,psychological_or_life_satisfaction,psyche,supporting,label_check_required,Use only after label/range checks; not a direct replacement for CES-D in primary models.,4344,4343,99.98,0|1,是否被医生诊断为心理问题
KLoSA,cardiometabolic_chronic,chronic_disease_indicators,hibpe,primary,higher_worse,Create count/proportion of available chronic cardiometabolic conditions.,4344,4344,100.0,0|1,是否被医生诊断为高血压
KLoSA,cardiometabolic_chronic,chronic_disease_indicators,diabe,primary,higher_worse,Create count/proportion of available chronic cardiometabolic conditions.,4344,4344,100.0,0|1,是否被医生诊断为糖尿病
KLoSA,cardiometabolic_chronic,chronic_disease_indicators,hearte,primary,higher_worse,Create count/proportion of available chronic cardiometabolic conditions.,4344,4344,100.0,0|1,是否被医生诊断为心脏病
KLoSA,cardiometabolic_chronic,chronic_disease_indicators,stroke,primary,higher_worse,Create count/proportion of available chronic cardiometabolic conditions.,4344,4344,100.0,0|1,是否被医生诊断为中风
KLoSA,cardiometabolic_chronic,chronic_disease_indicators,cancre,primary,higher_worse,Create count/proportion of available chronic cardiometabolic conditions.,4344,4344,100.0,0|1,是否被医生诊断为癌症
KLoSA,cardiometabolic_chronic,anthropometry_blood_pressure,bmi,supporting,continuous_risk_check,Use as secondary cardiometabolic severity components after cohort-specific range checks.,4344,4211,96.94,29.7777786254883|24.5243453979492|21.6441211700439|22.3081493377686|21.1109027862549|20.8888893127441|21.0828132629395|29.048656463623,自报BMI
LASI,functional,adl_limitations,r1adltot6,primary,higher_worse,Use as functional limitation count; standardize within cohort/wave.,28165,28078,99.69,0|6|2|1|5|3|4,ADL总分(0~6分)
LASI,functional,iadl_limitations,r1iadltot_l,primary,higher_worse,Use as instrumental limitation count; standardize within cohort/wave.,28165,28078,99.69,5|0|3|7|4|1|2|6,IADL总分(0~7分)
LASI,cognitive,global_cognition,r1cog_total,primary,higher_better,Reverse standardized score so higher harmonized domain score means worse cognition.,28165,27817,98.76,15|29|16|18|26|20|14|19,总认知能力43分
LASI,affective,depressive_symptoms,r1cesd10,primary,higher_worse,Use depressive symptom score or indicator; standardize within cohort/wave.,28165,27442,97.43,12|6|5|10|8|9|13|4,CESD/30分
LASI,affective,psychological_or_life_satisfaction,r1psyche,supporting,label_check_required,Use only after label/range checks; not a direct replacement for CES-D in primary models.,28165,28105,99.79,0|1,是否有任何精神问题
LASI,cardiometabolic_chronic,chronic_disease_indicators,r1hibpe,primary,higher_worse,Create count/proportion of available chronic cardiometabolic conditions.,28165,28112,99.81,1|0,是否报告高血压或高血压
LASI,cardiometabolic_chronic,chronic_disease_indicators,r1diabe,primary,higher_worse,Create count/proportion of available chronic cardiometabolic conditions.,28165,28113,99.82,1|0,是否报告过糖尿病或高血糖
LASI,cardiometabolic_chronic,chronic_disease_indicators,r1hearte,primary,higher_worse,Create count/proportion of available chronic cardiometabolic conditions.,28165,28114,99.82,0|1,是否有慢性心脏病
LASI,cardiometabolic_chronic,chronic_disease_indicators,r1stroke,primary,higher_worse,Create count/proportion of available chronic cardiometabolic conditions.,28165,28113,99.82,0|1,是否中风
LASI,cardiometabolic_chronic,chronic_disease_indicators,r1hchole,primary,higher_worse,Create count/proportion of available chronic cardiometabolic conditions.,28165,28113,99.82,0|1,是否报告曾被诊断为高胆固醇
LASI,cardiometabolic_chronic,chronic_disease_indicators,r1cancre,primary,higher_worse,Create count/proportion of available chronic cardiometabolic conditions.,28165,28114,99.82,0|1,是否换有癌症或恶性肿瘤
LASI,cardiometabolic_chronic,anthropometry_blood_pressure,r1mbmi,supporting,continuous_risk_check,Use as secondary cardiometabolic severity components after cohort-specific range checks.,28165,25335,89.95,26.3146362304688|31.6442832946777|22.3132762908936|25.2363395690918|33.7603874206543|19.2343769073486|22.5465755462646|20.284797668457,身体质量指数
LASI,cardiometabolic_chronic,anthropometry_blood_pressure,r1systo,supporting,continuous_risk_check,Use as secondary cardiometabolic severity components after cohort-specific range checks.,28165,25620,90.96,145.5|107|106.5|134.5|123.5|179|118.5|144.5,收缩压读数的平均值
LASI,cardiometabolic_chronic,anthropometry_blood_pressure,r1diasto,supporting,continuous_risk_check,Use as secondary cardiometabolic severity components after cohort-specific range checks.,28165,25620,90.96,93|84|69|78|80.5|90|70.5|91.5,舒张压读数的平均值
MHAS,functional,adl_limitations,adltot6,primary,higher_worse,Use as functional limitation count; standardize within cohort/wave.,7440,6988,93.92,0|1|2|6|3|4|5,ADL总分(6项)
MHAS,functional,iadl_limitations,iadlfour,primary,higher_worse,Use as instrumental limitation count; standardize within cohort/wave.,7440,6976,93.76,0|4|2|1|3,IADL总分(4项)
MHAS,functional,frailty_or_performance,gripcomp,supporting,mixed_check_labels,Use for sensitivity or performance-anchored functional score after label/range checks.,7440,0,0.0,,是否愿意并且能够完成手部力量测量
MHAS,functional,frailty_or_performance,walkcomp,supporting,mixed_check_labels,Use for sensitivity or performance-anchored functional score after label/range checks.,7440,0,0.0,,是否愿意并且能够完成步行速度练习
MHAS,functional,frailty_or_performance,fall,supporting,mixed_check_labels,Use for sensitivity or performance-anchored functional score after label/range checks.,7440,7432,99.89,1|0,最近2年内是否跌倒过
MHAS,cognitive,memory_orientation,imrc8,primary,higher_better,Reverse standardized memory/orientation/numeracy scores; combine only after confirming comparable construction.,7440,6899,92.73,5.33333349227905|6|5|4|4.33333349227905|3.66666674613953|4.66666650772095|3.33333325386047,认知/单词即时回忆
MHAS,cognitive,memory_orientation,dlrc8,primary,higher_better,Reverse standardized memory/orientation/numeracy scores; combine only after confirming comparable construction.,7440,6899,92.73,6|4|7|5|3|2|8|0,认知/单词延迟回忆
MHAS,cognitive,memory_orientation,ser7,primary,higher_better,Reverse standardized memory/orientation/numeracy scores; combine only after confirming comparable construction.,7440,0,0.0,,正确减法的个数
MHAS,cognitive,memory_orientation,orient_m,primary,higher_better,Reverse standardized memory/orientation/numeracy scores; combine only after confirming comparable construction.,7440,0,0.0,,认知/是否能够正确地报告日
MHAS,affective,depressive_symptoms,cesd_m,primary,higher_worse,Use depressive symptom score or indicator; standardize within cohort/wave.,7440,6969,93.67,5|6|1|4|3|0|2|9,CESD-9
MHAS,affective,psychological_or_life_satisfaction,satlifez,supporting,label_check_required,Use only after label/range checks; not a direct replacement for CES-D in primary models.,7440,0,0.0,,生活满意度z评分
MHAS,cardiometabolic_chronic,chronic_disease_indicators,hibpe,primary,higher_worse,Create count/proportion of available chronic cardiometabolic conditions.,7440,7257,97.54,0|1,医生是否诊断曾经或目前患有高血压
MHAS,cardiometabolic_chronic,chronic_disease_indicators,diabe,primary,higher_worse,Create count/proportion of available chronic cardiometabolic conditions.,7440,7269,97.7,1|0,医生是否诊断曾经或目前患有糖尿病或高血糖
MHAS,cardiometabolic_chronic,chronic_disease_indicators,hearte,primary,higher_worse,Create count/proportion of available chronic cardiometabolic conditions.,7440,0,0.0,,医生是否诊断曾经或目前患有心脏疾病
MHAS,cardiometabolic_chronic,chronic_disease_indicators,stroke,primary,higher_worse,Create count/proportion of available chronic cardiometabolic conditions.,7440,7273,97.76,0|1,医生是否诊断曾经或目前患有中风
MHAS,cardiometabolic_chronic,chronic_disease_indicators,cancre,primary,higher_worse,Create count/proportion of available chronic cardiometabolic conditions.,7440,7278,97.82,0|1,医生是否诊断曾经或目前患有癌症
MHAS,cardiometabolic_chronic,anthropometry_blood_pressure,bmi,supporting,continuous_risk_check,Use as secondary cardiometabolic severity components after cohort-specific range checks.,7440,5073,68.19,28.282829284668|22.9853973388672|29.4321346282959|28|21.0771961212158|25.1038780212402|26.6666660308838|25.8875751495361,自我报告BMI
MHAS,cardiometabolic_chronic,anthropometry_blood_pressure,mbmi,supporting,continuous_risk_check,Use as secondary cardiometabolic severity components after cohort-specific range checks.,7440,1264,16.99,23.4223690032959|30.7809085845947|27.3399124145508|24.7324600219727|40.8888893127441|32.3700485229492|27.4348411560059|26.5021152496338,测量的BMI
MHAS,cardiometabolic_chronic,anthropometry_blood_pressure,systo,supporting,continuous_risk_check,Use as secondary cardiometabolic severity components after cohort-specific range checks.,7440,0,0.0,,收缩压的平均值
MHAS,cardiometabolic_chronic,anthropometry_blood_pressure,diasto,supporting,continuous_risk_check,Use as secondary cardiometabolic severity components after cohort-specific range checks.,7440,0,0.0,,舒张压的平均值
SHARE,functional,frailty_or_performance,frailtyb,supporting,mixed_check_labels,Use for sensitivity or performance-anchored functional score after label/range checks.,15814,0,0.0,,虚弱
SHARE,functional,frailty_or_performance,gripcomp,supporting,mixed_check_labels,Use for sensitivity or performance-anchored functional score after label/range checks.,15814,15716,99.38,1|0,是否愿意并且能够完成握力测试
SHARE,functional,frailty_or_performance,walkcomp,supporting,mixed_check_labels,Use for sensitivity or performance-anchored functional score after label/range checks.,15814,2369,14.98,0|1,是否愿意并且能够完成步行速度测试
SHARE,cognitive,memory_orientation,ser7,primary,higher_better,Reverse standardized memory/orientation/numeracy scores; combine only after confirming comparable construction.,15814,0,0.0,,认知/正确减法的个数5分
SHARE,cognitive,memory_orientation,imrc,primary,higher_better,Reverse standardized memory/orientation/numeracy scores; combine only after confirming comparable construction.,15814,15488,97.94,9|1|2|3|7|5|6|4,认知/即时回忆单词10分
SHARE,cognitive,memory_orientation,dlrc,primary,higher_better,Reverse standardized memory/orientation/numeracy scores; combine only after confirming comparable construction.,15814,15467,97.81,6|1|0|2|4|3|5|10,认知/延迟回忆单词10分
