Panel	Option	Panel role	Variant budget	Candidate ID	Candidate level	Candidate maturity	Data fit gate	Visual fit gate	Runtime	Env	Rendered	Render script	Intermediate file	Output PNG	Output PDF/SVG	Validation status	Reason	Raw data	Variable mapping	Rows mapped
Fig2B	Fig2B.2	main_complex	top 2-3 variants	mapping:0030:correlation_omics/correlation_heatmap_template.py	persist_indexed_code	needs_porting	pass	pass	Python / PERSIST matplotlib	research-py312	yes	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/scripts/Fig2B__Fig2B.2__mapping_0030_correlation_omics_correlation_heatmap_template_py.py	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/intermediate_tables/Fig2B__Fig2B.2__mapping_0030_correlation_omics_correlation_heatmap_template_py__input_mapped.tsv	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig2B/Fig2B__Fig2B.2__mapping_0030_correlation_omics_correlation_heatmap_template_py.png	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig2B/Fig2B__Fig2B.2__mapping_0030_correlation_omics_correlation_heatmap_template_py.pdf; /mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig2B/Fig2B__Fig2B.2__mapping_0030_correlation_omics_correlation_heatmap_template_py.svg	standalone_render_validated	2025年10月7日 Python绘制扇形相关性热图-包括pearson, spearman, kendall\扇形相关性热图.py -> Which alternative algorithms agree with the selected GMM labels?	outputs/phase36_gmm_algorithm_robustness.csv	cohort x method matrix of ari_vs_selected_gmm	7
Fig2B	Fig2B.3	main_complex	top 2-3 variants	mapping:0029:correlation_omics/correlation_heatmap_template.py	persist_indexed_code	needs_porting	pass	pass	Python / PERSIST matplotlib	research-py312	yes	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/scripts/Fig2B__Fig2B.3__mapping_0029_correlation_omics_correlation_heatmap_template_py.py	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/intermediate_tables/Fig2B__Fig2B.3__mapping_0029_correlation_omics_correlation_heatmap_template_py__input_mapped.tsv	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig2B/Fig2B__Fig2B.3__mapping_0029_correlation_omics_correlation_heatmap_template_py.png	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig2B/Fig2B__Fig2B.3__mapping_0029_correlation_omics_correlation_heatmap_template_py.pdf; /mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig2B/Fig2B__Fig2B.3__mapping_0029_correlation_omics_correlation_heatmap_template_py.svg	standalone_render_validated	2025年10月6日 期刊图片复现Python绘制带有分组区域的环状相关性热图\环状相关性热图-带分组标识.py -> Which alternative algorithms agree with the selected GMM labels?	outputs/phase36_gmm_algorithm_robustness.csv	cohort x method matrix of ari_vs_selected_gmm	7
Fig2B	Fig2B.4	main_complex	top 2-3 variants	mapping:0031:correlation_omics/correlation_heatmap_template.py	persist_indexed_code	needs_porting	pass	pass	Python / PERSIST matplotlib	research-py312	yes	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/scripts/Fig2B__Fig2B.4__mapping_0031_correlation_omics_correlation_heatmap_template_py.py	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/intermediate_tables/Fig2B__Fig2B.4__mapping_0031_correlation_omics_correlation_heatmap_template_py__input_mapped.tsv	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig2B/Fig2B__Fig2B.4__mapping_0031_correlation_omics_correlation_heatmap_template_py.png	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig2B/Fig2B__Fig2B.4__mapping_0031_correlation_omics_correlation_heatmap_template_py.pdf; /mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig2B/Fig2B__Fig2B.4__mapping_0031_correlation_omics_correlation_heatmap_template_py.svg	standalone_render_validated	2025年10月8日 Python绘制花瓣状多组相关性热图\花瓣状相关性热图.py -> Which alternative algorithms agree with the selected GMM labels?	outputs/phase36_gmm_algorithm_robustness.csv	cohort x method matrix of ari_vs_selected_gmm	7
Fig2B	Fig2B.5	main_complex	top 2-3 variants	atlas:187:2026年04月09日 Python绘制高颜值相关性矩阵图	hf_capsule	needs_porting	pass	pass	Python / PERSIST matplotlib	research-py312	yes	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/scripts/Fig2B__Fig2B.5__atlas_187_2026_04_09_Python.py	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/intermediate_tables/Fig2B__Fig2B.5__atlas_187_2026_04_09_Python__input_mapped.tsv	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig2B/Fig2B__Fig2B.5__atlas_187_2026_04_09_Python.png	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig2B/Fig2B__Fig2B.5__atlas_187_2026_04_09_Python.pdf; /mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig2B/Fig2B__Fig2B.5__atlas_187_2026_04_09_Python.svg	standalone_render_validated	相关性热图 -> Which alternative algorithms agree with the selected GMM labels?	outputs/phase36_gmm_algorithm_robustness.csv	cohort x method matrix of ari_vs_selected_gmm	7
Fig2B	Fig2B.6	main_complex	top 2-3 variants	atlas:070:2025年9月14日 期刊图片复现python绘制六边形相关性矩阵图	hf_capsule	needs_porting	pass	pass	Python / PERSIST matplotlib	research-py312	yes	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/scripts/Fig2B__Fig2B.6__atlas_070_2025_9_14_python.py	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/intermediate_tables/Fig2B__Fig2B.6__atlas_070_2025_9_14_python__input_mapped.tsv	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig2B/Fig2B__Fig2B.6__atlas_070_2025_9_14_python.png	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig2B/Fig2B__Fig2B.6__atlas_070_2025_9_14_python.pdf; /mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig2B/Fig2B__Fig2B.6__atlas_070_2025_9_14_python.svg	standalone_render_validated	相关性热图 -> Which alternative algorithms agree with the selected GMM labels?	outputs/phase36_gmm_algorithm_robustness.csv	cohort x method matrix of ari_vs_selected_gmm	7
Fig2B	Fig2B.7	main_complex	top 2-3 variants	mapping:0041:correlation_omics/pca_heatmap_template.py	persist_indexed_code	needs_porting	pass	pass	Python / PERSIST matplotlib	research-py312	yes	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/scripts/Fig2B__Fig2B.7__mapping_0041_correlation_omics_pca_heatmap_template_py.py	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/intermediate_tables/Fig2B__Fig2B.7__mapping_0041_correlation_omics_pca_heatmap_template_py__input_mapped.tsv	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig2B/Fig2B__Fig2B.7__mapping_0041_correlation_omics_pca_heatmap_template_py.png	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig2B/Fig2B__Fig2B.7__mapping_0041_correlation_omics_pca_heatmap_template_py.pdf; /mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig2B/Fig2B__Fig2B.7__mapping_0041_correlation_omics_pca_heatmap_template_py.svg	standalone_render_validated	2025年11月20日 期刊图片复现Python绘制双变量对角线分割组合三角热图\1120-组合热力图.py -> Which alternative algorithms agree with the selected GMM labels?	outputs/phase36_gmm_algorithm_robustness.csv	cohort x method matrix of ari_vs_selected_gmm	7
Fig2B	Fig2B.8	main_complex	top 2-3 variants	PERSIST-0111	persist_indexed_code	needs_porting	pass	pass	Python / PERSIST matplotlib	research-py312	yes	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/scripts/Fig2B__Fig2B.8__PERSIST_0111.py	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/intermediate_tables/Fig2B__Fig2B.8__PERSIST_0111__input_mapped.tsv	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig2B/Fig2B__Fig2B.8__PERSIST_0111.png	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig2B/Fig2B__Fig2B.8__PERSIST_0111.pdf; /mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig2B/Fig2B__Fig2B.8__PERSIST_0111.svg	standalone_render_validated	2025年7月28日 期刊图片复现python绘制地理探测器单因子柱状图+相关性分析热图组合图 -> Which alternative algorithms agree with the selected GMM labels?	outputs/phase36_gmm_algorithm_robustness.csv	cohort x method matrix of ari_vs_selected_gmm	7
Fig2C	Fig2C.1	main_complex	top 1-2 variants	generic_portable_template:group_distribution/forest_plot_template.py	generic_portable_template	production_ready	pass	conditional_pass	Python / PERSIST matplotlib	research-py312	yes	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/scripts/Fig2C__Fig2C.1__generic_portable_template_group_distribution_forest_plot_template_py.py	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/intermediate_tables/Fig2C__Fig2C.1__generic_portable_template_group_distribution_forest_plot_template_py__input_mapped.tsv	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig2C/Fig2C__Fig2C.1__generic_portable_template_group_distribution_forest_plot_template_py.png	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig2C/Fig2C__Fig2C.1__generic_portable_template_group_distribution_forest_plot_template_py.pdf; /mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig2C/Fig2C__Fig2C.1__generic_portable_template_group_distribution_forest_plot_template_py.svg	standalone_render_validated	森林图 -> Do covariance diagnostics undermine stable latent-subtype claims?	outputs/phase40_table2_profile_stability_guardrails.csv	cohort, max_covariance_condition_number, near_singular_covariance	7
Fig3A	Fig3A.1	main_high_impact	top 2-3 variants	generic_portable_template:group_distribution/forest_plot_template.py	generic_portable_template	production_ready	pass	pass	Python / PERSIST or R forest if statistical trust boundary needed	research-py312	yes	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/scripts/Fig3A__Fig3A.1__generic_portable_template_group_distribution_forest_plot_template_py.py	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/intermediate_tables/Fig3A__Fig3A.1__generic_portable_template_group_distribution_forest_plot_template_py__input_mapped.tsv	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig3A/Fig3A__Fig3A.1__generic_portable_template_group_distribution_forest_plot_template_py.png	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig3A/Fig3A__Fig3A.1__generic_portable_template_group_distribution_forest_plot_template_py.pdf; /mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig3A/Fig3A__Fig3A.1__generic_portable_template_group_distribution_forest_plot_template_py.svg	standalone_render_validated	森林图 -> How large are the absolute functional deterioration gradients within strict-core cohorts?	outputs/phase40_table3_lfo_functional_change_association_strict_core.csv	cohort, crude_risk_difference_pct, parsed crude_risk_difference_ci_pct, events, lfo_model_n	4
Fig3A	Fig3A.2	main_high_impact	top 2-3 variants	mapping:0221:group_distribution/forest_plot_template.py	persist_indexed_code	needs_porting	pass	pass	Python / PERSIST or R forest if statistical trust boundary needed	research-py312	yes	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/scripts/Fig3A__Fig3A.2__mapping_0221_group_distribution_forest_plot_template_py.py	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/intermediate_tables/Fig3A__Fig3A.2__mapping_0221_group_distribution_forest_plot_template_py__input_mapped.tsv	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig3A/Fig3A__Fig3A.2__mapping_0221_group_distribution_forest_plot_template_py.png	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig3A/Fig3A__Fig3A.2__mapping_0221_group_distribution_forest_plot_template_py.pdf; /mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig3A/Fig3A__Fig3A.2__mapping_0221_group_distribution_forest_plot_template_py.svg	standalone_render_validated	2026年05月16日 森林图\20260513-森林图.py -> How large are the absolute functional deterioration gradients within strict-core cohorts?	outputs/phase40_table3_lfo_functional_change_association_strict_core.csv	cohort, crude_risk_difference_pct, parsed crude_risk_difference_ci_pct, events, lfo_model_n	4
Fig3A	Fig3A.3	main_high_impact	top 2-3 variants	PERSIST-0981	persist_indexed_code	needs_porting	pass	conditional_pass	Python / PERSIST or R forest if statistical trust boundary needed	research-py312	yes	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/scripts/Fig3A__Fig3A.3__PERSIST_0981.py	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/intermediate_tables/Fig3A__Fig3A.3__PERSIST_0981__input_mapped.tsv	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig3A/Fig3A__Fig3A.3__PERSIST_0981.png	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig3A/Fig3A__Fig3A.3__PERSIST_0981.pdf; /mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig3A/Fig3A__Fig3A.3__PERSIST_0981.svg	standalone_render_validated	group_distribution -> How large are the absolute functional deterioration gradients within strict-core cohorts?	outputs/phase40_table3_lfo_functional_change_association_strict_core.csv	cohort, crude_risk_difference_pct, parsed crude_risk_difference_ci_pct, events, lfo_model_n	4
Fig3B	Fig3B.1	main_high_impact	top 2-3 variants	generic_portable_template:group_distribution/forest_plot_template.py	generic_portable_template	production_ready	pass	pass	Python / PERSIST clinical prediction or forest template	research-py312	yes	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/scripts/Fig3B__Fig3B.1__generic_portable_template_group_distribution_forest_plot_template_py.py	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/intermediate_tables/Fig3B__Fig3B.1__generic_portable_template_group_distribution_forest_plot_template_py__input_mapped.tsv	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig3B/Fig3B__Fig3B.1__generic_portable_template_group_distribution_forest_plot_template_py.png	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig3B/Fig3B__Fig3B.1__generic_portable_template_group_distribution_forest_plot_template_py.pdf; /mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig3B/Fig3B__Fig3B.1__generic_portable_template_group_distribution_forest_plot_template_py.svg	standalone_render_validated	森林图 -> Does categorical LFO profiling improve discrimination over continuous scores?	outputs/phase40_table3_lfo_functional_change_association_strict_core.csv; outputs/phase37_auc_bootstrap_ci.csv	cohort, delta_auc_profile_minus_continuous, delta_auc_p025, delta_auc_p975, profile_auc, continuous_auc	4
Fig3B	Fig3B.2	main_high_impact	top 2-3 variants	mapping:0221:group_distribution/forest_plot_template.py	persist_indexed_code	needs_porting	pass	pass	Python / PERSIST clinical prediction or forest template	research-py312	yes	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/scripts/Fig3B__Fig3B.2__mapping_0221_group_distribution_forest_plot_template_py.py	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/intermediate_tables/Fig3B__Fig3B.2__mapping_0221_group_distribution_forest_plot_template_py__input_mapped.tsv	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig3B/Fig3B__Fig3B.2__mapping_0221_group_distribution_forest_plot_template_py.png	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig3B/Fig3B__Fig3B.2__mapping_0221_group_distribution_forest_plot_template_py.pdf; /mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig3B/Fig3B__Fig3B.2__mapping_0221_group_distribution_forest_plot_template_py.svg	standalone_render_validated	2026年05月16日 森林图\20260513-森林图.py -> Does categorical LFO profiling improve discrimination over continuous scores?	outputs/phase40_table3_lfo_functional_change_association_strict_core.csv; outputs/phase37_auc_bootstrap_ci.csv	cohort, delta_auc_profile_minus_continuous, delta_auc_p025, delta_auc_p975, profile_auc, continuous_auc	4
FigS1	FigS1.1	supplementary	top 2 variants if useful	generic_portable_template:correlation_omics/correlation_heatmap_template.py	generic_portable_template	production_ready	pass	pass	Python / PERSIST heatmap capsule	research-py312	yes	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/scripts/FigS1__FigS1.1__generic_portable_template_correlation_omics_correlation_heatmap_template.py	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/intermediate_tables/FigS1__FigS1.1__generic_portable_template_correlation_omics_correlation_heatmap_template__input_mapped.tsv	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/FigS1/FigS1__FigS1.1__generic_portable_template_correlation_omics_correlation_heatmap_template.png	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/FigS1/FigS1__FigS1.1__generic_portable_template_correlation_omics_correlation_heatmap_template.pdf; /mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/FigS1/FigS1__FigS1.1__generic_portable_template_correlation_omics_correlation_heatmap_template.svg	standalone_render_validated	相关热图+FDR -> What do the strict-core descriptive profile classes look like across four domains?	outputs/phase4_gmm_class_profiles.csv; outputs/phase40_table2_profile_stability_guardrails.csv	strict-core selected-k cohort-class rows by four domain z-score columns	18
FigS1	FigS1.2	supplementary	top 2 variants if useful	mapping:0188:correlation_omics/correlation_heatmap_template.py	persist_indexed_code	needs_porting	pass	pass	Python / PERSIST heatmap capsule	research-py312	yes	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/scripts/FigS1__FigS1.2__mapping_0188_correlation_omics_correlation_heatmap_template_py.py	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/intermediate_tables/FigS1__FigS1.2__mapping_0188_correlation_omics_correlation_heatmap_template_py__input_mapped.tsv	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/FigS1/FigS1__FigS1.2__mapping_0188_correlation_omics_correlation_heatmap_template_py.png	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/FigS1/FigS1__FigS1.2__mapping_0188_correlation_omics_correlation_heatmap_template_py.pdf; /mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/FigS1/FigS1__FigS1.2__mapping_0188_correlation_omics_correlation_heatmap_template_py.svg	standalone_render_validated	2026年03月11日 Python卡通风格套图(2)：相关性分析热图\20260306-卡通风格相关性分析热图.py -> What do the strict-core descriptive profile classes look like across four domains?	outputs/phase4_gmm_class_profiles.csv; outputs/phase40_table2_profile_stability_guardrails.csv	strict-core selected-k cohort-class rows by four domain z-score columns	18
FigS1	FigS1.3	supplementary	top 2 variants if useful	mapping:0110:correlation_omics/correlation_heatmap_template.py	persist_indexed_code	needs_porting	pass	pass	Python / PERSIST heatmap capsule	research-py312	yes	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/scripts/FigS1__FigS1.3__mapping_0110_correlation_omics_correlation_heatmap_template_py.py	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/intermediate_tables/FigS1__FigS1.3__mapping_0110_correlation_omics_correlation_heatmap_template_py__input_mapped.tsv	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/FigS1/FigS1__FigS1.3__mapping_0110_correlation_omics_correlation_heatmap_template_py.png	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/FigS1/FigS1__FigS1.3__mapping_0110_correlation_omics_correlation_heatmap_template_py.pdf; /mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/FigS1/FigS1__FigS1.3__mapping_0110_correlation_omics_correlation_heatmap_template_py.svg	standalone_render_validated	2025年7月28日 期刊图片复现python绘制地理探测器单因子柱状图+相关性分析热图组合图\横向条形图+矩阵图.py -> What do the strict-core descriptive profile classes look like across four domains?	outputs/phase4_gmm_class_profiles.csv; outputs/phase40_table2_profile_stability_guardrails.csv	strict-core selected-k cohort-class rows by four domain z-score columns	18
FigS1	FigS1.4	supplementary	top 2 variants if useful	mapping:0132:correlation_omics/correlation_heatmap_template.py	persist_indexed_code	needs_porting	pass	pass	Python / PERSIST heatmap capsule	research-py312	yes	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/scripts/FigS1__FigS1.4__mapping_0132_correlation_omics_correlation_heatmap_template_py.py	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/intermediate_tables/FigS1__FigS1.4__mapping_0132_correlation_omics_correlation_heatmap_template_py__input_mapped.tsv	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/FigS1/FigS1__FigS1.4__mapping_0132_correlation_omics_correlation_heatmap_template_py.png	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/FigS1/FigS1__FigS1.4__mapping_0132_correlation_omics_correlation_heatmap_template_py.pdf; /mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/FigS1/FigS1__FigS1.4__mapping_0132_correlation_omics_correlation_heatmap_template_py.svg	standalone_render_validated	2025年8月7日 Python一键绘制惊艳的相关性椭圆图--包括Pearson、Spearman和Kendall相关性分析等三种方法\相关性热图进阶.py -> What do the strict-core descriptive profile classes look like across four domains?	outputs/phase4_gmm_class_profiles.csv; outputs/phase40_table2_profile_stability_guardrails.csv	strict-core selected-k cohort-class rows by four domain z-score columns	18
FigS1	FigS1.5	supplementary	top 2 variants if useful	atlas:187:2026年04月09日 Python绘制高颜值相关性矩阵图	hf_capsule	needs_porting	pass	pass	Python / PERSIST heatmap capsule	research-py312	yes	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/scripts/FigS1__FigS1.5__atlas_187_2026_04_09_Python.py	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/intermediate_tables/FigS1__FigS1.5__atlas_187_2026_04_09_Python__input_mapped.tsv	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/FigS1/FigS1__FigS1.5__atlas_187_2026_04_09_Python.png	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/FigS1/FigS1__FigS1.5__atlas_187_2026_04_09_Python.pdf; /mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/FigS1/FigS1__FigS1.5__atlas_187_2026_04_09_Python.svg	standalone_render_validated	相关性热图 -> What do the strict-core descriptive profile classes look like across four domains?	outputs/phase4_gmm_class_profiles.csv; outputs/phase40_table2_profile_stability_guardrails.csv	strict-core selected-k cohort-class rows by four domain z-score columns	18
FigS1	FigS1.6	supplementary	top 2 variants if useful	mapping:0041:correlation_omics/pca_heatmap_template.py	persist_indexed_code	needs_porting	pass	pass	Python / PERSIST heatmap capsule	research-py312	yes	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/scripts/FigS1__FigS1.6__mapping_0041_correlation_omics_pca_heatmap_template_py.py	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/intermediate_tables/FigS1__FigS1.6__mapping_0041_correlation_omics_pca_heatmap_template_py__input_mapped.tsv	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/FigS1/FigS1__FigS1.6__mapping_0041_correlation_omics_pca_heatmap_template_py.png	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/FigS1/FigS1__FigS1.6__mapping_0041_correlation_omics_pca_heatmap_template_py.pdf; /mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/FigS1/FigS1__FigS1.6__mapping_0041_correlation_omics_pca_heatmap_template_py.svg	standalone_render_validated	2025年11月20日 期刊图片复现Python绘制双变量对角线分割组合三角热图\1120-组合热力图.py -> What do the strict-core descriptive profile classes look like across four domains?	outputs/phase4_gmm_class_profiles.csv; outputs/phase40_table2_profile_stability_guardrails.csv	strict-core selected-k cohort-class rows by four domain z-score columns	18
