analysis_set,analysis_tier,cohort,class_id,class,class_n,class_pct,label_en,label_zh,label_confidence,high_domains,spared_domains,outcome_flags,severity_mean,functional_score,cognitive_score,affective_score,cardiometabolic_chronic_score,functional_deterioration_ge_0_5sd_event_pct,functional_or_formatted,chronic_progression_ge_1_condition_event_pct,chronic_or_formatted,death_pct,mortality_hr_formatted,mortality_drift_flag,profile_label
strict_earliest_primary,strict_primary,HRS,HRS_C3,3,870,8.53,elevated-burden severity-aligned,较高负担严重度一致型,provisional,,,functional-risk;mortality-risk,0.4,0.4,0.39,0.35,0.46,49.67,1.92 (1.62-2.27),61.77,0.63 (0.53-0.74),73.92,2.22 (2.02-2.45),1,intermediate_severity_aligned
strict_earliest_primary,strict_primary,HRS,HRS_C4,4,659,6.46,affective-dominant elevated-burden,心理/抑郁主导型较高负担,provisional,affective,cardiometabolic,functional-risk;mortality-risk,0.69,0.77,0.49,1.5,0.01,45.9,1.85 (1.53-2.23),69.43,0.82 (0.67-1.00),68.1,2.14 (1.92-2.38),1,high_burden_high_affective_spared_cardiometabolic_chronic
strict_earliest_primary,strict_primary,HRS,HRS_C5,5,649,6.36,functional-dominant high-burden,功能主导型高负担,provisional,functional,cognitive,mortality-risk,1.14,2.12,0.65,0.93,0.86,42.62,1.42 (1.16-1.72),57.14,0.51 (0.42-0.62),79.75,2.88 (2.59-3.19),1,high_burden_high_functional_spared_cognitive
strict_earliest_primary,strict_primary,LASI,LASI_C1,1,15915,58.01,intermediate-burden with spared cardiometabolic,心代谢/慢病相对保留的中等负担,moderate,,cardiometabolic,,-0.19,-0.1,0.09,-0.02,-0.73,,1.00 (1.00-1.00),,1.00 (1.00-1.00),,,0,intermediate_spared_cardiometabolic_chronic
strict_earliest_primary,strict_primary,LASI,LASI_C2,2,5641,20.56,cardiometabolic-dominant intermediate-burden,心代谢/慢病主导型中等负担,high,cardiometabolic,functional,,-0.04,-0.61,-0.38,-0.13,0.95,,,,,,,0,intermediate_high_cardiometabolic_chronic_spared_functional
strict_earliest_primary,strict_primary,LASI,LASI_C3,3,5877,21.42,cardiometabolic-dominant elevated-burden,心代谢/慢病主导型较高负担,high,cardiometabolic,cognitive,,0.51,0.72,0.13,0.17,1.04,,,,,,,0,high_burden_high_cardiometabolic_chronic_spared_cognitive
strict_earliest_primary,strict_primary,MHAS,MHAS_C1,1,2719,40.38,intermediate-burden with spared cardiometabolic,心代谢/慢病相对保留的中等负担,moderate,,cardiometabolic,,-0.41,-0.32,-0.1,-0.26,-0.96,19.88,1.00 (1.00-1.00),60.26,1.00 (1.00-1.00),23.67,1.00 (1.00-1.00),0,intermediate_spared_cardiometabolic_chronic
strict_earliest_primary,strict_primary,MHAS,MHAS_C2,2,2267,33.67,cardiometabolic-dominant intermediate-burden,心代谢/慢病主导型中等负担,high,cardiometabolic,,functional-risk,0.0,-0.32,-0.06,-0.02,0.42,28.85,1.60 (1.38-1.85),43.91,0.53 (0.47-0.59),32.02,1.36 (1.22-1.52),0,intermediate_high_cardiometabolic_chronic
strict_earliest_primary,strict_primary,MHAS,MHAS_C3,3,760,11.29,cardiometabolic-dominant elevated-burden,心代谢/慢病主导型较高负担,high,cardiometabolic,functional;cognitive,functional-risk;mortality-risk,0.54,-0.02,0.07,0.29,1.8,37.14,2.18 (1.79-2.67),25.25,0.23 (0.19-0.28),50.55,2.41 (2.12-2.75),0,high_burden_high_cardiometabolic_chronic_spared_functional_cognitive
strict_earliest_primary,strict_primary,MHAS,MHAS_C4,4,467,6.94,functional-dominant elevated-burden,功能主导型较高负担,moderate,functional,cardiometabolic,mortality-risk,0.68,1.82,0.37,0.51,-0.0,29.3,1.21 (0.92-1.60),45.01,0.70 (0.56-0.87),58.81,2.13 (1.84-2.47),0,high_burden_high_functional_spared_cardiometabolic_chronic
strict_earliest_primary,strict_primary,MHAS,MHAS_C5,5,520,7.72,functional-dominant elevated-burden,功能主导型较高负担,moderate,functional,cognitive,mortality-risk,0.72,1.54,0.28,0.62,0.42,34.03,1.49 (1.16-1.90),40.34,0.58 (0.47-0.71),55.51,1.95 (1.69-2.26),0,high_burden_high_functional_spared_cognitive
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,KLoSA_C1,1,1986,48.66,intermediate-burden with spared cardiometabolic,心代谢/慢病相对保留的中等负担,moderate,,cardiometabolic,,-0.35,-0.19,-0.18,-0.18,-0.86,27.01,1.00 (1.00-1.00),33.26,1.00 (1.00-1.00),12.68,1.00 (1.00-1.00),0,intermediate_spared_cardiometabolic_chronic
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,KLoSA_C2,2,1428,34.99,cardiometabolic-dominant intermediate-burden,心代谢/慢病主导型中等负担,provisional,cardiometabolic,,,-0.02,-0.3,-0.21,-0.15,0.58,35.69,1.39 (1.19-1.62),28.11,0.77 (0.66-0.90),15.79,0.96 (0.80-1.15),1,intermediate_high_cardiometabolic_chronic
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,KLoSA_C3,3,667,16.34,functional/cardiometabolic-dominant high-burden,功能/心代谢/慢病主导型高负担,high,functional;cardiometabolic,,,1.01,1.12,0.96,0.72,1.25,25.21,0.73 (0.59-0.92),21.66,0.53 (0.42-0.67),39.72,1.32 (1.10-1.58),0,high_burden_severity_aligned
strict_earliest_primary,strict_primary,SHARE,SHARE_C1,1,6678,42.48,intermediate-burden with spared cardiometabolic,心代谢/慢病相对保留的中等负担,moderate,,cardiometabolic,,-0.42,-0.32,-0.26,-0.25,-0.87,4.1,1.00 (1.00-1.00),51.55,1.00 (1.00-1.00),13.87,1.00 (1.00-1.00),0,intermediate_spared_cardiometabolic_chronic
strict_earliest_primary,strict_primary,SHARE,SHARE_C2,2,5896,37.5,cardiometabolic-dominant intermediate-burden,心代谢/慢病主导型中等负担,high,cardiometabolic,functional,,0.02,-0.37,-0.12,-0.08,0.65,0.0,0.00 (0.00-inf),43.69,0.70 (0.65-0.76),22.62,1.24 (1.13-1.36),0,intermediate_high_cardiometabolic_chronic_spared_functional
strict_earliest_primary,strict_primary,SHARE,SHARE_C3,3,2009,12.78,elevated-burden severity-aligned,较高负担严重度一致型,low,,,functional-risk;mortality-risk,0.44,0.44,0.24,0.48,0.59,52.31,33.04 (27.39-39.86),51.3,0.91 (0.81-1.02),41.26,1.67 (1.50-1.86),0,intermediate_severity_aligned
strict_earliest_primary,strict_primary,SHARE,SHARE_C4,4,1138,7.24,functional/cognitive/affective-dominant high-burden,功能/认知/心理/抑郁主导型高负担,moderate,functional;cognitive;affective,affective;cardiometabolic,functional-risk;mortality-risk,1.6,2.94,1.69,1.03,0.72,75.9,114.29 (88.05-148.35),48.2,0.75 (0.64-0.89),68.99,2.75 (2.45-3.09),0,high_burden_high_functional_spared_affective_cardiometabolic_chronic
