analysis_set,analysis_tier,cohort,wave,domain,common_construct,source_tier,candidate_group_index,candidate_group_role,item_order_within_group,variable,item_family,raw_direction,score_orientation,used_in_selected_domain_score,item_nonmissing_n,item_nonmissing_pct,domain_nonmissing_n,domain_nonmissing_pct,complete_four_domain_n,baseline_women_age50plus_n,comparability_flag,comparability_note
strict_earliest_primary,strict_primary,CHARLS,1,cardiometabolic_chronic,cardiometabolic and chronic disease burden,primary,1,primary_group,4,stroke,stroke,higher_worse,higher_domain_score_worse_after_orientation,1,6812,99.04,6827,99.26,6019,6878,core_chronic_condition,Common chronic-condition indicator used in disease-count domain.
strict_earliest_primary,strict_primary,CHARLS,1,cardiometabolic_chronic,cardiometabolic and chronic disease burden,primary,1,primary_group,5,dyslipe,dyslipidemia_or_high_cholesterol,higher_worse,higher_domain_score_worse_after_orientation,1,6690,97.27,6827,99.26,6019,6878,optional_lipid_condition,Lipid/high-cholesterol item is present in some but not all cohorts.
strict_earliest_primary,strict_primary,CHARLS,1,cardiometabolic_chronic,cardiometabolic and chronic disease burden,primary,1,primary_group,6,cancre,cancer,higher_worse,higher_domain_score_worse_after_orientation,1,6798,98.84,6827,99.26,6019,6878,core_chronic_condition,Common chronic-condition indicator used in disease-count domain.
strict_earliest_primary,strict_primary,ELSA,1,functional,functional limitation or performance burden,primary,1,primary_group,1,adltot6,adl_iadl_limitation,higher_worse,higher_domain_score_worse_after_orientation,1,6198,98.51,6198,98.51,6104,6292,strict_core_adl_iadl,ADL/IADL or direct limitation variables available.
strict_earliest_primary,strict_primary,ELSA,1,functional,functional limitation or performance burden,primary,1,primary_group,2,iadltot2_e,adl_iadl_limitation,higher_worse,higher_domain_score_worse_after_orientation,1,0,0.0,6198,98.51,6104,6292,strict_core_adl_iadl,ADL/IADL or direct limitation variables available.
strict_earliest_primary,strict_primary,ELSA,1,functional,functional limitation or performance burden,primary,2,fallback_group_2,1,adltot6,adl_iadl_limitation,higher_worse,higher_domain_score_worse_after_orientation,1,6198,98.51,6198,98.51,6104,6292,strict_core_adl_iadl,ADL/IADL or direct limitation variables available.
strict_earliest_primary,strict_primary,ELSA,1,cognitive,cognitive impairment burden,primary,1,primary_group,1,memory_z,memory_recall,higher_better,higher_domain_score_worse_after_orientation,0,0,0.0,6136,97.52,6104,6292,partial_cognitive_item_battery,Cognitive item batteries differ by cohort and were standardized within cohort/wave.
strict_earliest_primary,strict_primary,ELSA,1,cognitive,cognitive impairment burden,primary,1,primary_group,2,orient_z,orientation,higher_better,higher_domain_score_worse_after_orientation,0,0,0.0,6136,97.52,6104,6292,partial_cognitive_item_battery,Cognitive item batteries differ by cohort and were standardized within cohort/wave.
strict_earliest_primary,strict_primary,ELSA,1,cognitive,cognitive impairment burden,primary,1,primary_group,3,tcog_z_z,global_cognitive_score,higher_better,higher_domain_score_worse_after_orientation,0,0,0.0,6136,97.52,6104,6292,cohort_specific_global_cognitive_score,Global cognitive scores are harmonized by orientation/z-scoring but not item-identical.
strict_earliest_primary,strict_primary,ELSA,1,cognitive,cognitive impairment burden,primary,2,fallback_group_2,1,imrc,memory_recall,higher_better,higher_domain_score_worse_after_orientation,1,6102,96.98,6136,97.52,6104,6292,partial_cognitive_item_battery,Cognitive item batteries differ by cohort and were standardized within cohort/wave.
strict_earliest_primary,strict_primary,ELSA,1,cognitive,cognitive impairment burden,primary,2,fallback_group_2,2,dlrc,memory_recall,higher_better,higher_domain_score_worse_after_orientation,1,6095,96.87,6136,97.52,6104,6292,partial_cognitive_item_battery,Cognitive item batteries differ by cohort and were standardized within cohort/wave.
strict_earliest_primary,strict_primary,ELSA,1,cognitive,cognitive impairment burden,primary,2,fallback_group_2,3,orient,orientation,higher_better,higher_domain_score_worse_after_orientation,1,6135,97.5,6136,97.52,6104,6292,partial_cognitive_item_battery,Cognitive item batteries differ by cohort and were standardized within cohort/wave.
strict_earliest_primary,strict_primary,ELSA,1,affective,depressive or affective symptom burden,primary,1,primary_group,1,cesd,cesd_depressive_symptoms,higher_worse,higher_domain_score_worse_after_orientation,1,6109,97.09,6109,97.09,6104,6292,cesd_family_affective_scale,CES-D-family depressive symptom scale.
strict_earliest_primary,strict_primary,ELSA,1,cardiometabolic_chronic,cardiometabolic and chronic disease burden,primary,1,primary_group,1,hibpe,hypertension,higher_worse,higher_domain_score_worse_after_orientation,1,6287,99.92,6288,99.94,6104,6292,core_chronic_condition,Common chronic-condition indicator used in disease-count domain.
strict_earliest_primary,strict_primary,ELSA,1,cardiometabolic_chronic,cardiometabolic and chronic disease burden,primary,1,primary_group,2,diabe,diabetes,higher_worse,higher_domain_score_worse_after_orientation,1,6287,99.92,6288,99.94,6104,6292,core_chronic_condition,Common chronic-condition indicator used in disease-count domain.
strict_earliest_primary,strict_primary,ELSA,1,cardiometabolic_chronic,cardiometabolic and chronic disease burden,primary,1,primary_group,3,hearte,heart_disease,higher_worse,higher_domain_score_worse_after_orientation,1,6287,99.92,6288,99.94,6104,6292,core_chronic_condition,Common chronic-condition indicator used in disease-count domain.
strict_earliest_primary,strict_primary,ELSA,1,cardiometabolic_chronic,cardiometabolic and chronic disease burden,primary,1,primary_group,4,stroke,stroke,higher_worse,higher_domain_score_worse_after_orientation,1,6287,99.92,6288,99.94,6104,6292,core_chronic_condition,Common chronic-condition indicator used in disease-count domain.
strict_earliest_primary,strict_primary,ELSA,1,cardiometabolic_chronic,cardiometabolic and chronic disease burden,primary,1,primary_group,5,hchole,dyslipidemia_or_high_cholesterol,higher_worse,higher_domain_score_worse_after_orientation,1,0,0.0,6288,99.94,6104,6292,optional_lipid_condition,Lipid/high-cholesterol item is present in some but not all cohorts.
strict_earliest_primary,strict_primary,ELSA,1,cardiometabolic_chronic,cardiometabolic and chronic disease burden,primary,1,primary_group,6,cancre,cancer,higher_worse,higher_domain_score_worse_after_orientation,1,6286,99.9,6288,99.94,6104,6292,core_chronic_condition,Common chronic-condition indicator used in disease-count domain.
strict_earliest_primary,strict_primary,HRS,5,functional,functional limitation or performance burden,primary,1,primary_group,1,adl6a,adl_iadl_limitation,higher_worse,higher_domain_score_worse_after_orientation,1,10989,99.85,10989,99.85,10202,11005,partial_functional_adl_only,Functional domain uses ADL only in the current cleaned data.
strict_earliest_primary,strict_primary,HRS,5,cognitive,cognitive impairment burden,primary,1,primary_group,1,cog27,global_cognitive_score,higher_better,higher_domain_score_worse_after_orientation,1,10214,92.81,10214,92.81,10202,11005,cohort_specific_global_cognitive_score,Global cognitive scores are harmonized by orientation/z-scoring but not item-identical.
strict_earliest_primary,strict_primary,HRS,5,cognitive,cognitive impairment burden,primary,2,fallback_group_2,1,cogtot,global_cognitive_score,higher_better,higher_domain_score_worse_after_orientation,0,5613,51.0,10214,92.81,10202,11005,cohort_specific_global_cognitive_score,Global cognitive scores are harmonized by orientation/z-scoring but not item-identical.
strict_earliest_primary,strict_primary,HRS,5,cognitive,cognitive impairment burden,primary,3,fallback_group_3,1,memory_z,memory_recall,higher_better,higher_domain_score_worse_after_orientation,0,6083,55.27,10214,92.81,10202,11005,partial_cognitive_item_battery,Cognitive item batteries differ by cohort and were standardized within cohort/wave.
strict_earliest_primary,strict_primary,HRS,5,cognitive,cognitive impairment burden,primary,3,fallback_group_3,2,orient_z,orientation,higher_better,higher_domain_score_worse_after_orientation,0,4529,41.15,10214,92.81,10202,11005,partial_cognitive_item_battery,Cognitive item batteries differ by cohort and were standardized within cohort/wave.
strict_earliest_primary,strict_primary,HRS,5,cognitive,cognitive impairment burden,primary,3,fallback_group_3,3,imrc,memory_recall,higher_better,higher_domain_score_worse_after_orientation,0,10214,92.81,10214,92.81,10202,11005,partial_cognitive_item_battery,Cognitive item batteries differ by cohort and were standardized within cohort/wave.
strict_earliest_primary,strict_primary,HRS,5,cognitive,cognitive impairment burden,primary,3,fallback_group_3,4,dlrc,memory_recall,higher_better,higher_domain_score_worse_after_orientation,0,10214,92.81,10214,92.81,10202,11005,partial_cognitive_item_battery,Cognitive item batteries differ by cohort and were standardized within cohort/wave.
strict_earliest_primary,strict_primary,HRS,5,cognitive,cognitive impairment burden,primary,3,fallback_group_3,5,ser7,serial_subtraction_or_numeracy,higher_better,higher_domain_score_worse_after_orientation,0,10214,92.81,10214,92.81,10202,11005,partial_cognitive_item_battery,Cognitive item batteries differ by cohort and were standardized within cohort/wave.
strict_earliest_primary,strict_primary,HRS,5,affective,depressive or affective symptom burden,primary,1,primary_group,1,cesd,cesd_depressive_symptoms,higher_worse,higher_domain_score_worse_after_orientation,1,10210,92.78,10210,92.78,10202,11005,cesd_family_affective_scale,CES-D-family depressive symptom scale.
strict_earliest_primary,strict_primary,HRS,5,cardiometabolic_chronic,cardiometabolic and chronic disease burden,primary,1,primary_group,1,hibpe,hypertension,higher_worse,higher_domain_score_worse_after_orientation,1,11005,100.0,11005,100.0,10202,11005,core_chronic_condition,Common chronic-condition indicator used in disease-count domain.
strict_earliest_primary,strict_primary,HRS,5,cardiometabolic_chronic,cardiometabolic and chronic disease burden,primary,1,primary_group,2,diabe,diabetes,higher_worse,higher_domain_score_worse_after_orientation,1,11005,100.0,11005,100.0,10202,11005,core_chronic_condition,Common chronic-condition indicator used in disease-count domain.
strict_earliest_primary,strict_primary,HRS,5,cardiometabolic_chronic,cardiometabolic and chronic disease burden,primary,1,primary_group,3,hearte,heart_disease,higher_worse,higher_domain_score_worse_after_orientation,1,11005,100.0,11005,100.0,10202,11005,core_chronic_condition,Common chronic-condition indicator used in disease-count domain.
strict_earliest_primary,strict_primary,HRS,5,cardiometabolic_chronic,cardiometabolic and chronic disease burden,primary,1,primary_group,4,stroke,stroke,higher_worse,higher_domain_score_worse_after_orientation,1,11005,100.0,11005,100.0,10202,11005,core_chronic_condition,Common chronic-condition indicator used in disease-count domain.
strict_earliest_primary,strict_primary,HRS,5,cardiometabolic_chronic,cardiometabolic and chronic disease burden,primary,1,primary_group,5,hchole,dyslipidemia_or_high_cholesterol,higher_worse,higher_domain_score_worse_after_orientation,1,0,0.0,11005,100.0,10202,11005,optional_lipid_condition,Lipid/high-cholesterol item is present in some but not all cohorts.
strict_earliest_primary,strict_primary,HRS,5,cardiometabolic_chronic,cardiometabolic and chronic disease burden,primary,1,primary_group,6,cancre,cancer,higher_worse,higher_domain_score_worse_after_orientation,1,11005,100.0,11005,100.0,10202,11005,core_chronic_condition,Common chronic-condition indicator used in disease-count domain.
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,functional,functional limitation or performance burden,primary,1,primary_group,1,r1adltot6,adl_iadl_limitation,higher_worse,higher_domain_score_worse_after_orientation,1,28078,99.69,28078,99.69,27433,28165,strict_core_adl_iadl,ADL/IADL or direct limitation variables available.
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,functional,functional limitation or performance burden,primary,1,primary_group,2,r1iadltot_l,adl_iadl_limitation,higher_worse,higher_domain_score_worse_after_orientation,1,28078,99.69,28078,99.69,27433,28165,strict_core_adl_iadl,ADL/IADL or direct limitation variables available.
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,cognitive,cognitive impairment burden,primary,1,primary_group,1,r1cog_total,global_cognitive_score,higher_better,higher_domain_score_worse_after_orientation,1,27817,98.76,27817,98.76,27433,28165,cohort_specific_global_cognitive_score,Global cognitive scores are harmonized by orientation/z-scoring but not item-identical.
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,affective,depressive or affective symptom burden,primary,1,primary_group,1,r1cesd10,cesd_depressive_symptoms,higher_worse,higher_domain_score_worse_after_orientation,1,27442,97.43,27442,97.43,27433,28165,cesd_family_affective_scale,CES-D-family depressive symptom scale.
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,cardiometabolic_chronic,cardiometabolic and chronic disease burden,primary,1,primary_group,1,r1hibpe,hypertension,higher_worse,higher_domain_score_worse_after_orientation,1,28112,99.81,28115,99.82,27433,28165,core_chronic_condition,Common chronic-condition indicator used in disease-count domain.
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,cardiometabolic_chronic,cardiometabolic and chronic disease burden,primary,1,primary_group,2,r1diabe,diabetes,higher_worse,higher_domain_score_worse_after_orientation,1,28113,99.82,28115,99.82,27433,28165,core_chronic_condition,Common chronic-condition indicator used in disease-count domain.
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,cardiometabolic_chronic,cardiometabolic and chronic disease burden,primary,1,primary_group,3,r1hearte,heart_disease,higher_worse,higher_domain_score_worse_after_orientation,1,28114,99.82,28115,99.82,27433,28165,core_chronic_condition,Common chronic-condition indicator used in disease-count domain.
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,cardiometabolic_chronic,cardiometabolic and chronic disease burden,primary,1,primary_group,4,r1stroke,stroke,higher_worse,higher_domain_score_worse_after_orientation,1,28113,99.82,28115,99.82,27433,28165,core_chronic_condition,Common chronic-condition indicator used in disease-count domain.
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,cardiometabolic_chronic,cardiometabolic and chronic disease burden,primary,1,primary_group,5,r1hchole,dyslipidemia_or_high_cholesterol,higher_worse,higher_domain_score_worse_after_orientation,1,28113,99.82,28115,99.82,27433,28165,optional_lipid_condition,Lipid/high-cholesterol item is present in some but not all cohorts.
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,cardiometabolic_chronic,cardiometabolic and chronic disease burden,primary,1,primary_group,6,r1cancre,cancer,higher_worse,higher_domain_score_worse_after_orientation,1,28114,99.82,28115,99.82,27433,28165,core_chronic_condition,Common chronic-condition indicator used in disease-count domain.
strict_earliest_primary,strict_primary,MHAS,1,functional,functional limitation or performance burden,primary,1,primary_group,1,adltot6,adl_iadl_limitation,higher_worse,higher_domain_score_worse_after_orientation,1,6988,93.92,6988,93.92,6733,7440,strict_core_adl_iadl,ADL/IADL or direct limitation variables available.
strict_earliest_primary,strict_primary,MHAS,1,functional,functional limitation or performance burden,primary,1,primary_group,2,iadlfour,adl_iadl_limitation,higher_worse,higher_domain_score_worse_after_orientation,1,6976,93.76,6988,93.92,6733,7440,strict_core_adl_iadl,ADL/IADL or direct limitation variables available.
strict_earliest_primary,strict_primary,MHAS,1,cognitive,cognitive impairment burden,primary,1,primary_group,1,imrc8,memory_recall,higher_better,higher_domain_score_worse_after_orientation,1,6899,92.73,6899,92.73,6733,7440,partial_cognitive_item_battery,Cognitive item batteries differ by cohort and were standardized within cohort/wave.
strict_earliest_primary,strict_primary,MHAS,1,cognitive,cognitive impairment burden,primary,1,primary_group,2,dlrc8,memory_recall,higher_better,higher_domain_score_worse_after_orientation,1,6899,92.73,6899,92.73,6733,7440,partial_cognitive_item_battery,Cognitive item batteries differ by cohort and were standardized within cohort/wave.
strict_earliest_primary,strict_primary,MHAS,1,cognitive,cognitive impairment burden,primary,1,primary_group,3,ser7,serial_subtraction_or_numeracy,higher_better,higher_domain_score_worse_after_orientation,1,0,0.0,6899,92.73,6733,7440,partial_cognitive_item_battery,Cognitive item batteries differ by cohort and were standardized within cohort/wave.
strict_earliest_primary,strict_primary,MHAS,1,cognitive,cognitive impairment burden,primary,1,primary_group,4,orient_m,orientation,higher_better,higher_domain_score_worse_after_orientation,1,0,0.0,6899,92.73,6733,7440,partial_cognitive_item_battery,Cognitive item batteries differ by cohort and were standardized within cohort/wave.
strict_earliest_primary,strict_primary,MHAS,1,cognitive,cognitive impairment burden,primary,2,fallback_group_2,1,imrc8,memory_recall,higher_better,higher_domain_score_worse_after_orientation,1,6899,92.73,6899,92.73,6733,7440,partial_cognitive_item_battery,Cognitive item batteries differ by cohort and were standardized within cohort/wave.
strict_earliest_primary,strict_primary,MHAS,1,cognitive,cognitive impairment burden,primary,2,fallback_group_2,2,dlrc8,memory_recall,higher_better,higher_domain_score_worse_after_orientation,1,6899,92.73,6899,92.73,6733,7440,partial_cognitive_item_battery,Cognitive item batteries differ by cohort and were standardized within cohort/wave.
strict_earliest_primary,strict_primary,MHAS,1,affective,depressive or affective symptom burden,primary,1,primary_group,1,cesd_m,cesd_depressive_symptoms,higher_worse,higher_domain_score_worse_after_orientation,1,6969,93.67,6969,93.67,6733,7440,cesd_family_affective_scale,CES-D-family depressive symptom scale.
strict_earliest_primary,strict_primary,MHAS,1,cardiometabolic_chronic,cardiometabolic and chronic disease burden,primary,1,primary_group,1,hibpe,hypertension,higher_worse,higher_domain_score_worse_after_orientation,1,7257,97.54,7285,97.92,6733,7440,core_chronic_condition,Common chronic-condition indicator used in disease-count domain.
strict_earliest_primary,strict_primary,MHAS,1,cardiometabolic_chronic,cardiometabolic and chronic disease burden,primary,1,primary_group,2,diabe,diabetes,higher_worse,higher_domain_score_worse_after_orientation,1,7269,97.7,7285,97.92,6733,7440,core_chronic_condition,Common chronic-condition indicator used in disease-count domain.
strict_earliest_primary,strict_primary,MHAS,1,cardiometabolic_chronic,cardiometabolic and chronic disease burden,primary,1,primary_group,3,hearte,heart_disease,higher_worse,higher_domain_score_worse_after_orientation,1,0,0.0,7285,97.92,6733,7440,core_chronic_condition,Common chronic-condition indicator used in disease-count domain.
strict_earliest_primary,strict_primary,MHAS,1,cardiometabolic_chronic,cardiometabolic and chronic disease burden,primary,1,primary_group,4,stroke,stroke,higher_worse,higher_domain_score_worse_after_orientation,1,7273,97.76,7285,97.92,6733,7440,core_chronic_condition,Common chronic-condition indicator used in disease-count domain.
strict_earliest_primary,strict_primary,MHAS,1,cardiometabolic_chronic,cardiometabolic and chronic disease burden,primary,1,primary_group,5,cancre,cancer,higher_worse,higher_domain_score_worse_after_orientation,1,7278,97.82,7285,97.92,6733,7440,core_chronic_condition,Common chronic-condition indicator used in disease-count domain.
strict_earliest_primary,strict_primary,SHARE,1,functional,functional limitation or performance burden,primary,1,primary_group,1,adl,adl_iadl_limitation,higher_worse,higher_domain_score_worse_after_orientation,1,15814,100.0,15814,100.0,15721,15814,strict_core_adl_iadl,ADL/IADL or direct limitation variables available.
strict_earliest_primary,strict_primary,SHARE,1,functional,functional limitation or performance burden,primary,1,primary_group,2,iadl,adl_iadl_limitation,higher_worse,higher_domain_score_worse_after_orientation,1,15814,100.0,15814,100.0,15721,15814,strict_core_adl_iadl,ADL/IADL or direct limitation variables available.
strict_earliest_primary,strict_primary,SHARE,1,cognitive,cognitive impairment burden,primary,1,primary_group,1,imrc,memory_recall,higher_better,higher_domain_score_worse_after_orientation,1,15488,97.94,15730,99.47,15721,15814,partial_cognitive_item_battery,Cognitive item batteries differ by cohort and were standardized within cohort/wave.
strict_earliest_primary,strict_primary,SHARE,1,cognitive,cognitive impairment burden,primary,1,primary_group,2,dlrc,memory_recall,higher_better,higher_domain_score_worse_after_orientation,1,15467,97.81,15730,99.47,15721,15814,partial_cognitive_item_battery,Cognitive item batteries differ by cohort and were standardized within cohort/wave.
strict_earliest_primary,strict_primary,SHARE,1,cognitive,cognitive impairment burden,primary,1,primary_group,3,orient,orientation,higher_better,higher_domain_score_worse_after_orientation,1,15724,99.43,15730,99.47,15721,15814,partial_cognitive_item_battery,Cognitive item batteries differ by cohort and were standardized within cohort/wave.
strict_earliest_primary,strict_primary,SHARE,1,cognitive,cognitive impairment burden,primary,1,primary_group,4,ser7,serial_subtraction_or_numeracy,higher_better,higher_domain_score_worse_after_orientation,1,0,0.0,15730,99.47,15721,15814,partial_cognitive_item_battery,Cognitive item batteries differ by cohort and were standardized within cohort/wave.
strict_earliest_primary,strict_primary,SHARE,1,cognitive,cognitive impairment burden,primary,1,primary_group,5,numer_s,serial_subtraction_or_numeracy,higher_better,higher_domain_score_worse_after_orientation,1,15680,99.15,15730,99.47,15721,15814,partial_cognitive_item_battery,Cognitive item batteries differ by cohort and were standardized within cohort/wave.
strict_earliest_primary,strict_primary,SHARE,1,cognitive,cognitive impairment burden,primary,2,fallback_group_2,1,imrc,memory_recall,higher_better,higher_domain_score_worse_after_orientation,1,15488,97.94,15730,99.47,15721,15814,partial_cognitive_item_battery,Cognitive item batteries differ by cohort and were standardized within cohort/wave.
strict_earliest_primary,strict_primary,SHARE,1,cognitive,cognitive impairment burden,primary,2,fallback_group_2,2,dlrc,memory_recall,higher_better,higher_domain_score_worse_after_orientation,1,15467,97.81,15730,99.47,15721,15814,partial_cognitive_item_battery,Cognitive item batteries differ by cohort and were standardized within cohort/wave.
strict_earliest_primary,strict_primary,SHARE,1,cognitive,cognitive impairment burden,primary,2,fallback_group_2,3,orient,orientation,higher_better,higher_domain_score_worse_after_orientation,1,15724,99.43,15730,99.47,15721,15814,partial_cognitive_item_battery,Cognitive item batteries differ by cohort and were standardized within cohort/wave.
strict_earliest_primary,strict_primary,SHARE,1,cognitive,cognitive impairment burden,primary,2,fallback_group_2,4,numer_s,serial_subtraction_or_numeracy,higher_better,higher_domain_score_worse_after_orientation,1,15680,99.15,15730,99.47,15721,15814,partial_cognitive_item_battery,Cognitive item batteries differ by cohort and were standardized within cohort/wave.
strict_earliest_primary,strict_primary,SHARE,1,affective,depressive or affective symptom burden,primary,1,primary_group,1,eurod,eurod_depressive_symptoms,higher_worse,higher_domain_score_worse_after_orientation,1,15814,100.0,15814,100.0,15721,15814,non_cesd_affective_scale,SHARE uses EURO-D rather than CES-D.
strict_earliest_primary,strict_primary,SHARE,1,cardiometabolic_chronic,cardiometabolic and chronic disease burden,primary,1,primary_group,1,hibpe,hypertension,higher_worse,higher_domain_score_worse_after_orientation,1,15740,99.53,15740,99.53,15721,15814,core_chronic_condition,Common chronic-condition indicator used in disease-count domain.
strict_earliest_primary,strict_primary,SHARE,1,cardiometabolic_chronic,cardiometabolic and chronic disease burden,primary,1,primary_group,2,diabe,diabetes,higher_worse,higher_domain_score_worse_after_orientation,1,15740,99.53,15740,99.53,15721,15814,core_chronic_condition,Common chronic-condition indicator used in disease-count domain.
strict_earliest_primary,strict_primary,SHARE,1,cardiometabolic_chronic,cardiometabolic and chronic disease burden,primary,1,primary_group,3,hearte,heart_disease,higher_worse,higher_domain_score_worse_after_orientation,1,15740,99.53,15740,99.53,15721,15814,core_chronic_condition,Common chronic-condition indicator used in disease-count domain.
strict_earliest_primary,strict_primary,SHARE,1,cardiometabolic_chronic,cardiometabolic and chronic disease burden,primary,1,primary_group,4,stroke,stroke,higher_worse,higher_domain_score_worse_after_orientation,1,15740,99.53,15740,99.53,15721,15814,core_chronic_condition,Common chronic-condition indicator used in disease-count domain.
strict_earliest_primary,strict_primary,SHARE,1,cardiometabolic_chronic,cardiometabolic and chronic disease burden,primary,1,primary_group,5,hchole,dyslipidemia_or_high_cholesterol,higher_worse,higher_domain_score_worse_after_orientation,1,15740,99.53,15740,99.53,15721,15814,optional_lipid_condition,Lipid/high-cholesterol item is present in some but not all cohorts.
strict_earliest_primary,strict_primary,SHARE,1,cardiometabolic_chronic,cardiometabolic and chronic disease burden,primary,1,primary_group,6,cancre,cancer,higher_worse,higher_domain_score_worse_after_orientation,1,15740,99.53,15740,99.53,15721,15814,core_chronic_condition,Common chronic-condition indicator used in disease-count domain.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,functional,functional limitation or performance burden,bridge,1,primary_group,1,gripsum,grip_strength_or_performance,higher_better,higher_domain_score_worse_after_orientation,1,3713,85.47,4344,100.0,4081,4344,bridge_proxy,Bridge source; not equivalent to strict ADL/IADL limitation.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,functional,functional limitation or performance burden,bridge,1,primary_group,2,gripcomp,grip_strength_or_performance,higher_better,higher_domain_score_worse_after_orientation,1,4175,96.11,4344,100.0,4081,4344,bridge_proxy,Bridge source; not equivalent to strict ADL/IADL limitation.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,functional,functional limitation or performance burden,bridge,1,primary_group,3,fall,falls,higher_worse,higher_domain_score_worse_after_orientation,1,4344,100.0,4344,100.0,4081,4344,bridge_proxy,Bridge source; not equivalent to strict ADL/IADL limitation.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,cognitive,cognitive impairment burden,primary,1,primary_group,1,cog_total,global_cognitive_score,higher_better,higher_domain_score_worse_after_orientation,0,4115,94.73,4115,94.73,4081,4344,cohort_specific_global_cognitive_score,Global cognitive scores are harmonized by orientation/z-scoring but not item-identical.
