cohort,class_id,class,label_en_final,label_zh_final,label_en_display,label_zh_display,figure_label_short,phase16_label_status,phase16_marker,phase16_lock_rule,phase15_review_reason,phase14_stability_flag_count,phase14_flagged_outcomes,phase14_flagged_adjustments,phase14_flag_reasons
HRS,HRS_C4,4,affective-dominant elevated-burden,心理/抑郁主导型较高负担,affective-dominant elevated-burden [review],心理/抑郁主导型较高负担 [review],C4: affective elevated*,review_required_not_locked,*,Requires manual review before final label lock.,mortality HR drift; Phase 14 covariate sensitivity stability flag,1,functional_deterioration_ge_0_5sd,minimal_plus_bmi,material_log_change
HRS,HRS_C5,5,functional-dominant high-burden,功能主导型高负担,functional-dominant high-burden [review],功能主导型高负担 [review],C5: functional high*,review_required_not_locked,*,Requires manual review before final label lock.,mortality HR drift; Phase 14 covariate sensitivity stability flag,2,functional_deterioration_ge_0_5sd,minimal_core; minimal_plus_bmi,direction_change+significance_change+material_log_change; significance_change
MHAS,MHAS_C1,1,intermediate-burden with spared cardiometabolic,心代谢/慢病相对保留的中等负担,intermediate-burden with spared cardiometabolic,心代谢/慢病相对保留的中等负担,C1: intermediate spared cardiomet,locked_for_draft,,Can be used in draft tables/figures after final human sign-off.,,0,,,
MHAS,MHAS_C2,2,cardiometabolic-dominant intermediate-burden,心代谢/慢病主导型中等负担,cardiometabolic-dominant intermediate-burden,心代谢/慢病主导型中等负担,C2: cardiomet intermediate,locked_for_draft,,Can be used in draft tables/figures after final human sign-off.,,0,,,
MHAS,MHAS_C3,3,cardiometabolic-dominant elevated-burden,心代谢/慢病主导型较高负担,cardiometabolic-dominant elevated-burden,心代谢/慢病主导型较高负担,C3: cardiomet elevated,locked_for_draft,,Can be used in draft tables/figures after final human sign-off.,,0,,,
MHAS,MHAS_C4,4,functional-dominant elevated-burden,功能主导型较高负担,functional-dominant elevated-burden,功能主导型较高负担,C4: functional elevated,locked_for_draft,,Can be used in draft tables/figures after final human sign-off.,,0,,,
MHAS,MHAS_C5,5,functional-dominant elevated-burden,功能主导型较高负担,functional-dominant elevated-burden,功能主导型较高负担,C5: functional elevated,locked_for_draft,,Can be used in draft tables/figures after final human sign-off.,,0,,,
KLoSA,KLoSA_C1,1,intermediate-burden with spared cardiometabolic,心代谢/慢病相对保留的中等负担,intermediate-burden with spared cardiometabolic,心代谢/慢病相对保留的中等负担,C1: intermediate spared cardiomet,locked_for_draft,,Can be used in draft tables/figures after final human sign-off.,bridge sensitivity cohort; Bridge-sensitivity cohort display needs explicit footnote,0,,,
KLoSA,KLoSA_C2,2,cardiometabolic-dominant intermediate-burden,心代谢/慢病主导型中等负担,cardiometabolic-dominant intermediate-burden [review],心代谢/慢病主导型中等负担 [review],C2: cardiomet intermediate*,review_required_not_locked,*,Requires manual review before final label lock.,mortality HR drift; bridge sensitivity cohort; Phase 14 covariate sensitivity stability flag; Bridge-sensitivity cohort display needs explicit footnote,1,all_cause_mortality,minimal_plus_bmi,direction_change
KLoSA,KLoSA_C3,3,functional/cardiometabolic-dominant high-burden,功能/心代谢/慢病主导型高负担,functional/cardiometabolic-dominant high-burden,功能/心代谢/慢病主导型高负担,C3: functional/cardiomet high,locked_for_draft,,Can be used in draft tables/figures after final human sign-off.,bridge sensitivity cohort; Bridge-sensitivity cohort display needs explicit footnote,0,,,
SHARE,SHARE_C1,1,low-burden with spared cardiometabolic,心代谢/慢病相对保留的低负担,low-burden with spared cardiometabolic,心代谢/慢病相对保留的低负担,C1: low spared cardiomet,locked_for_draft,,Can be used in draft tables/figures after final human sign-off.,bridge sensitivity cohort; Bridge-sensitivity cohort display needs explicit footnote,0,,,
SHARE,SHARE_C2,2,cardiometabolic-dominant intermediate-burden,心代谢/慢病主导型中等负担,cardiometabolic-dominant intermediate-burden,心代谢/慢病主导型中等负担,C2: cardiomet intermediate,locked_for_draft,,Can be used in draft tables/figures after final human sign-off.,bridge sensitivity cohort; Bridge-sensitivity cohort display needs explicit footnote,0,,,
SHARE,SHARE_C3,3,affective-dominant intermediate-burden,心理/抑郁主导型中等负担,affective-dominant intermediate-burden,心理/抑郁主导型中等负担,C3: affective intermediate,locked_for_draft,,Can be used in draft tables/figures after final human sign-off.,bridge sensitivity cohort; Bridge-sensitivity cohort display needs explicit footnote,0,,,
SHARE,SHARE_C4,4,elevated-burden with spared functional,功能相对保留的较高负担,elevated-burden with spared functional [review],功能相对保留的较高负担 [review],C4: elevated with spared functional*,review_required_not_locked,*,Requires manual review before final label lock.,bridge sensitivity cohort; Phase 14 covariate sensitivity stability flag; Bridge-sensitivity cohort display needs explicit footnote,2,functional_deterioration_ge_0_5sd,expanded_core; minimal_plus_bmi,material_log_change
SHARE,SHARE_C5,5,functional/cognitive-dominant high-burden,功能/认知主导型高负担,functional/cognitive-dominant high-burden [review],功能/认知主导型高负担 [review],C5: functional/cognitive-dominant high*,review_required_not_locked,*,Requires manual review before final label lock.,mortality HR drift; bridge sensitivity cohort; Phase 14 covariate sensitivity stability flag; Bridge-sensitivity cohort display needs explicit footnote,3,functional_deterioration_ge_0_5sd,expanded_core; minimal_core; minimal_plus_bmi,direction_change+significance_change+material_log_change; significance_change
LASI,LASI_C1,1,intermediate-burden with spared cardiometabolic,心代谢/慢病相对保留的中等负担,intermediate-burden with spared cardiometabolic [baseline-only],心代谢/慢病相对保留的中等负担 [baseline-only],C1: intermediate spared cardiomet [hold],baseline_only_hold,hold,Baseline-profile-only class; do not use as outcome-validated label.,baseline profile only in current CSV pass; Baseline-profile only until follow-up validation is available,0,,,
LASI,LASI_C2,2,cardiometabolic-dominant intermediate-burden,心代谢/慢病主导型中等负担,cardiometabolic-dominant intermediate-burden [baseline-only],心代谢/慢病主导型中等负担 [baseline-only],C2: cardiomet intermediate [hold],baseline_only_hold,hold,Baseline-profile-only class; do not use as outcome-validated label.,baseline profile only in current CSV pass; Baseline-profile only until follow-up validation is available,0,,,
LASI,LASI_C3,3,cardiometabolic-dominant elevated-burden,心代谢/慢病主导型较高负担,cardiometabolic-dominant elevated-burden [baseline-only],心代谢/慢病主导型较高负担 [baseline-only],C3: cardiomet elevated [hold],baseline_only_hold,hold,Baseline-profile-only class; do not use as outcome-validated label.,baseline profile only in current CSV pass; Baseline-profile only until follow-up validation is available,0,,,
