analysis_set,analysis_tier,cohort,outcome,outcome_label,outcome_priority,matched_domain,model_type,model_description,main_comparator,rhs,n,events,event_pct,aic,bic_llf,auc,converged
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,functional_score,endotype,Age + endotype class,1,"C(endotype_class, Treatment(reference='1')) + age",3834,1144,29.84,4615.966,4640.973,0.58,1
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,functional_score,endotype,Age + endotype class,1,"C(endotype_class, Treatment(reference='1')) + age",5691,1766,31.03,6721.782,6748.369,0.6423,1
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,functional_score,endotype,Age + endotype class,1,"C(endotype_class, Treatment(reference='1')) + age",5153,1316,25.54,5144.713,5183.997,0.7394,1
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,functional_score,endotype,Age + endotype class,1,"C(endotype_class, Treatment(reference='1')) + age",9431,3546,37.6,11506.008,11548.919,0.6924,1
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,functional_score,endotype,Age + endotype class,1,"C(endotype_class, Treatment(reference='1')) + age",5443,1437,26.4,5972.038,6011.651,0.6687,1
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,functional_score,endotype,Age + endotype class,1,"C(endotype_class, Treatment(reference='1')) + age",12205,1525,12.49,4604.766,4641.814,0.9294,1
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,functional_score,endotype_plus_matched_domain,Age + endotype class + outcome-matched baseline domain score,0,"C(endotype_class, Treatment(reference='1')) + functional_score + age",3834,1144,29.84,4064.119,4095.378,0.7451,1
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,functional_score,endotype_plus_matched_domain,Age + endotype class + outcome-matched baseline domain score,0,"C(endotype_class, Treatment(reference='1')) + functional_score + age",5691,1766,31.03,6656.989,6690.222,0.653,1
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,functional_score,endotype_plus_matched_domain,Age + endotype class + outcome-matched baseline domain score,0,"C(endotype_class, Treatment(reference='1')) + functional_score + age",5153,1316,25.54,5130.037,5175.868,0.7426,1
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,functional_score,endotype_plus_matched_domain,Age + endotype class + outcome-matched baseline domain score,0,"C(endotype_class, Treatment(reference='1')) + functional_score + age",9431,3546,37.6,11461.953,11512.015,0.6958,1
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,functional_score,endotype_plus_matched_domain,Age + endotype class + outcome-matched baseline domain score,0,"C(endotype_class, Treatment(reference='1')) + functional_score + age",5443,1437,26.4,5930.577,5976.792,0.6775,1
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,functional_score,endotype_plus_matched_domain,Age + endotype class + outcome-matched baseline domain score,0,"C(endotype_class, Treatment(reference='1')) + functional_score + age",12205,1525,12.49,3935.551,3980.008,0.9684,1
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,functional_score,endotype_plus_four_domains,Age + endotype class + all four baseline domain scores,0,"C(endotype_class, Treatment(reference='1')) + functional_score + cognitive_score + affective_score + cardiometabolic_chronic_score + age",3834,1144,29.84,4050.941,4100.954,0.7496,1
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,functional_score,endotype_plus_four_domains,Age + endotype class + all four baseline domain scores,0,"C(endotype_class, Treatment(reference='1')) + functional_score + cognitive_score + affective_score + cardiometabolic_chronic_score + age",5691,1766,31.03,6407.355,6460.528,0.7024,1
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,functional_score,endotype_plus_four_domains,Age + endotype class + all four baseline domain scores,0,"C(endotype_class, Treatment(reference='1')) + functional_score + cognitive_score + affective_score + cardiometabolic_chronic_score + age",5153,1316,25.54,5048.613,5114.087,0.758,1
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,functional_score,endotype_plus_four_domains,Age + endotype class + all four baseline domain scores,0,"C(endotype_class, Treatment(reference='1')) + functional_score + cognitive_score + affective_score + cardiometabolic_chronic_score + age",9431,3546,37.6,11308.553,11380.07,0.7096,1
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,functional_score,endotype_plus_four_domains,Age + endotype class + all four baseline domain scores,0,"C(endotype_class, Treatment(reference='1')) + functional_score + cognitive_score + affective_score + cardiometabolic_chronic_score + age",5443,1437,26.4,5904.635,5970.656,0.681,1
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,functional_score,endotype_plus_four_domains,Age + endotype class + all four baseline domain scores,0,"C(endotype_class, Treatment(reference='1')) + functional_score + cognitive_score + affective_score + cardiometabolic_chronic_score + age",12205,1525,12.49,3926.089,3992.775,0.9684,1
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,cardiometabolic_chronic_score,severity_tertile,Age + severity tertile,1,"C(severity_tertile, Treatment(reference='low')) + age",3834,1136,29.63,4642.222,4667.229,0.5565,1
strict_earliest_primary,strict_primary,CHARLS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,cardiometabolic_chronic_score,severity_tertile,Age + severity tertile,1,"C(severity_tertile, Treatment(reference='low')) + age",5724,2769,48.38,7928.019,7954.629,0.5157,1
strict_earliest_primary,strict_primary,ELSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,cardiometabolic_chronic_score,severity_tertile,Age + severity tertile,1,"C(severity_tertile, Treatment(reference='low')) + age",5155,3245,62.95,6779.345,6805.536,0.5404,1
strict_earliest_primary,strict_primary,HRS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,cardiometabolic_chronic_score,severity_tertile,Age + severity tertile,1,"C(severity_tertile, Treatment(reference='low')) + age",9476,6629,69.96,11043.399,11072.025,0.6383,1
strict_earliest_primary,strict_primary,MHAS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,cardiometabolic_chronic_score,severity_tertile,Age + severity tertile,1,"C(severity_tertile, Treatment(reference='low')) + age",6285,3035,48.29,8385.327,8412.311,0.6227,1
strict_earliest_primary,strict_primary,SHARE,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,cardiometabolic_chronic_score,severity_tertile,Age + severity tertile,1,"C(severity_tertile, Treatment(reference='low')) + age",12205,5893,48.28,16889.156,16918.794,0.5315,1
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,cardiometabolic_chronic_score,severity_score,Age + continuous mean severity score,1,severity_score + age,3834,1136,29.63,4640.231,4658.986,0.5481,1
strict_earliest_primary,strict_primary,CHARLS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,cardiometabolic_chronic_score,severity_score,Age + continuous mean severity score,1,severity_score + age,5724,2769,48.38,7926.421,7946.378,0.5117,1
strict_earliest_primary,strict_primary,ELSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,cardiometabolic_chronic_score,severity_score,Age + continuous mean severity score,1,severity_score + age,5155,3245,62.95,6787.803,6807.447,0.5215,1
strict_earliest_primary,strict_primary,HRS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,cardiometabolic_chronic_score,severity_score,Age + continuous mean severity score,1,severity_score + age,9476,6629,69.96,11031.791,11053.26,0.641,1
strict_earliest_primary,strict_primary,MHAS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,cardiometabolic_chronic_score,severity_score,Age + continuous mean severity score,1,severity_score + age,6285,3035,48.29,8366.739,8386.976,0.6253,1
strict_earliest_primary,strict_primary,SHARE,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,cardiometabolic_chronic_score,severity_score,Age + continuous mean severity score,1,severity_score + age,12205,5893,48.28,16884.935,16907.164,0.5327,1
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,cardiometabolic_chronic_score,matched_domain_score,Age + outcome-matched baseline domain score,1,cardiometabolic_chronic_score + age,3834,1136,29.63,4622.826,4641.58,0.5681,1
strict_earliest_primary,strict_primary,CHARLS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,cardiometabolic_chronic_score,matched_domain_score,Age + outcome-matched baseline domain score,1,cardiometabolic_chronic_score + age,5724,2769,48.38,7923.398,7943.355,0.5116,1
strict_earliest_primary,strict_primary,ELSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,cardiometabolic_chronic_score,matched_domain_score,Age + outcome-matched baseline domain score,1,cardiometabolic_chronic_score + age,5155,3245,62.95,6789.239,6808.882,0.5168,1
strict_earliest_primary,strict_primary,HRS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,cardiometabolic_chronic_score,matched_domain_score,Age + outcome-matched baseline domain score,1,cardiometabolic_chronic_score + age,9476,6629,69.96,10895.929,10917.399,0.6541,1
strict_earliest_primary,strict_primary,MHAS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,cardiometabolic_chronic_score,matched_domain_score,Age + outcome-matched baseline domain score,1,cardiometabolic_chronic_score + age,6285,3035,48.29,8146.318,8166.555,0.6667,1
strict_earliest_primary,strict_primary,SHARE,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,cardiometabolic_chronic_score,matched_domain_score,Age + outcome-matched baseline domain score,1,cardiometabolic_chronic_score + age,12205,5893,48.28,16703.31,16725.538,0.5724,1
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,cardiometabolic_chronic_score,four_domain_scores,Age + all four baseline domain scores,1,functional_score + cognitive_score + affective_score + cardiometabolic_chronic_score + age,3834,1136,29.63,4622.369,4659.879,0.5701,1
strict_earliest_primary,strict_primary,CHARLS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,cardiometabolic_chronic_score,four_domain_scores,Age + all four baseline domain scores,1,functional_score + cognitive_score + affective_score + cardiometabolic_chronic_score + age,5724,2769,48.38,7911.934,7951.848,0.5377,1
strict_earliest_primary,strict_primary,ELSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,cardiometabolic_chronic_score,four_domain_scores,Age + all four baseline domain scores,1,functional_score + cognitive_score + affective_score + cardiometabolic_chronic_score + age,5155,3245,62.95,6776.837,6816.124,0.5398,1
strict_earliest_primary,strict_primary,HRS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,cardiometabolic_chronic_score,four_domain_scores,Age + all four baseline domain scores,1,functional_score + cognitive_score + affective_score + cardiometabolic_chronic_score + age,9476,6629,69.96,10898.08,10941.019,0.6542,1
strict_earliest_primary,strict_primary,MHAS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,cardiometabolic_chronic_score,four_domain_scores,Age + all four baseline domain scores,1,functional_score + cognitive_score + affective_score + cardiometabolic_chronic_score + age,6285,3035,48.29,8144.629,8185.105,0.6673,1
strict_earliest_primary,strict_primary,SHARE,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,cardiometabolic_chronic_score,four_domain_scores,Age + all four baseline domain scores,1,functional_score + cognitive_score + affective_score + cardiometabolic_chronic_score + age,12205,5893,48.28,16638.347,16682.804,0.5829,1
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,cardiometabolic_chronic_score,endotype,Age + endotype class,1,"C(endotype_class, Treatment(reference='1')) + age",3834,1136,29.63,4633.997,4659.004,0.5641,1
strict_earliest_primary,strict_primary,CHARLS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,cardiometabolic_chronic_score,endotype,Age + endotype class,1,"C(endotype_class, Treatment(reference='1')) + age",5724,2769,48.38,7927.155,7953.765,0.5164,1
strict_earliest_primary,strict_primary,ELSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,cardiometabolic_chronic_score,endotype,Age + endotype class,1,"C(endotype_class, Treatment(reference='1')) + age",5155,3245,62.95,6780.52,6819.806,0.5362,1
strict_earliest_primary,strict_primary,HRS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,cardiometabolic_chronic_score,endotype,Age + endotype class,1,"C(endotype_class, Treatment(reference='1')) + age",9476,6629,69.96,11075.774,11118.713,0.6399,1
strict_earliest_primary,strict_primary,MHAS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,cardiometabolic_chronic_score,endotype,Age + endotype class,1,"C(endotype_class, Treatment(reference='1')) + age",6285,3035,48.29,8191.593,8232.068,0.6609,1
strict_earliest_primary,strict_primary,SHARE,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,cardiometabolic_chronic_score,endotype,Age + endotype class,1,"C(endotype_class, Treatment(reference='1')) + age",12205,5893,48.28,16817.297,16854.345,0.5556,1
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,cardiometabolic_chronic_score,endotype_plus_matched_domain,Age + endotype class + outcome-matched baseline domain score,0,"C(endotype_class, Treatment(reference='1')) + cardiometabolic_chronic_score + age",3834,1136,29.63,4622.6,4653.859,0.5722,1
strict_earliest_primary,strict_primary,CHARLS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,cardiometabolic_chronic_score,endotype_plus_matched_domain,Age + endotype class + outcome-matched baseline domain score,0,"C(endotype_class, Treatment(reference='1')) + cardiometabolic_chronic_score + age",5724,2769,48.38,7923.9,7957.162,0.5209,1
strict_earliest_primary,strict_primary,ELSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,cardiometabolic_chronic_score,endotype_plus_matched_domain,Age + endotype class + outcome-matched baseline domain score,0,"C(endotype_class, Treatment(reference='1')) + cardiometabolic_chronic_score + age",5155,3245,62.95,6777.946,6823.78,0.5373,1
strict_earliest_primary,strict_primary,HRS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,cardiometabolic_chronic_score,endotype_plus_matched_domain,Age + endotype class + outcome-matched baseline domain score,0,"C(endotype_class, Treatment(reference='1')) + cardiometabolic_chronic_score + age",9476,6629,69.96,10875.596,10925.692,0.6517,1
strict_earliest_primary,strict_primary,MHAS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,cardiometabolic_chronic_score,endotype_plus_matched_domain,Age + endotype class + outcome-matched baseline domain score,0,"C(endotype_class, Treatment(reference='1')) + cardiometabolic_chronic_score + age",6285,3035,48.29,8150.902,8198.123,0.6667,1
strict_earliest_primary,strict_primary,SHARE,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,cardiometabolic_chronic_score,endotype_plus_matched_domain,Age + endotype class + outcome-matched baseline domain score,0,"C(endotype_class, Treatment(reference='1')) + cardiometabolic_chronic_score + age",12205,5893,48.28,16680.28,16724.738,0.581,1
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,cardiometabolic_chronic_score,endotype_plus_four_domains,Age + endotype class + all four baseline domain scores,0,"C(endotype_class, Treatment(reference='1')) + functional_score + cognitive_score + affective_score + cardiometabolic_chronic_score + age",3834,1136,29.63,4624.361,4674.374,0.5705,1
strict_earliest_primary,strict_primary,CHARLS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,cardiometabolic_chronic_score,endotype_plus_four_domains,Age + endotype class + all four baseline domain scores,0,"C(endotype_class, Treatment(reference='1')) + functional_score + cognitive_score + affective_score + cardiometabolic_chronic_score + age",5724,2769,48.38,7914.932,7968.152,0.5381,1
strict_earliest_primary,strict_primary,ELSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,cardiometabolic_chronic_score,endotype_plus_four_domains,Age + endotype class + all four baseline domain scores,0,"C(endotype_class, Treatment(reference='1')) + functional_score + cognitive_score + affective_score + cardiometabolic_chronic_score + age",5155,3245,62.95,6765.454,6830.932,0.5483,1
strict_earliest_primary,strict_primary,HRS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,cardiometabolic_chronic_score,endotype_plus_four_domains,Age + endotype class + all four baseline domain scores,0,"C(endotype_class, Treatment(reference='1')) + functional_score + cognitive_score + affective_score + cardiometabolic_chronic_score + age",9476,6629,69.96,10879.616,10951.181,0.6519,1
strict_earliest_primary,strict_primary,MHAS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,cardiometabolic_chronic_score,endotype_plus_four_domains,Age + endotype class + all four baseline domain scores,0,"C(endotype_class, Treatment(reference='1')) + functional_score + cognitive_score + affective_score + cardiometabolic_chronic_score + age",6285,3035,48.29,8145.585,8213.045,0.668,1
strict_earliest_primary,strict_primary,SHARE,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,cardiometabolic_chronic_score,endotype_plus_four_domains,Age + endotype class + all four baseline domain scores,0,"C(endotype_class, Treatment(reference='1')) + functional_score + cognitive_score + affective_score + cardiometabolic_chronic_score + age",12205,5893,48.28,16620.968,16687.654,0.5874,1
