analysis_set,analysis_tier,cohort,class_id,class,class_n,class_pct,label_en_final,label_zh_final,label_en_display,label_zh_display,phase16_label_status,phase15_review_reason,label_confidence,high_domains,spared_domains,outcome_flags,label_en,label_zh,severity_mean,functional_score,cognitive_score,affective_score,cardiometabolic_chronic_score,functional_deterioration_ge_0_5sd_event_pct,functional_or_formatted,chronic_progression_ge_1_condition_event_pct,chronic_or_formatted,death_pct,mortality_hr_formatted,mortality_drift_flag,profile_label,figure_label_short,phase16_marker,phase16_lock_rule,phase14_stability_flag_count,phase18_label_en_v0,phase18_label_en_display_v0,phase18_decision_v0,phase18_marker,phase18_rationale,human_signoff_required,phase18_figure_label_short_v0
strict_earliest_primary,strict_primary,HRS,HRS_C3,3,870,8.53,elevated-burden severity-aligned,较高负担严重度一致型,elevated-burden severity-aligned [review],较高负担严重度一致型 [review],review_required_not_locked,mortality HR drift; Phase 14 covariate sensitivity stability flag,provisional,,,functional-risk;mortality-risk,elevated-burden severity-aligned,较高负担严重度一致型,0.4,0.4,0.39,0.35,0.46,49.67,1.92 (1.62-2.27),61.77,0.63 (0.53-0.74),73.92,2.22 (2.02-2.45),1,intermediate_severity_aligned,C3: elevated severity*,*,Requires manual review before final label lock.,1,elevated-burden severity-aligned,elevated-burden severity-aligned [caveat],locked_with_caveat_auto_v0,caveat,Keep baseline domain-profile name; avoid mortality-driven interpretation and report sensitivity caveat.,1,C3: elevated severity-aligned [cav]
strict_earliest_primary,strict_primary,HRS,HRS_C4,4,659,6.46,affective-dominant elevated-burden,心理/抑郁主导型较高负担,affective-dominant elevated-burden [review],心理/抑郁主导型较高负担 [review],review_required_not_locked,mortality HR drift; Phase 14 covariate sensitivity stability flag,provisional,affective,cardiometabolic,functional-risk;mortality-risk,affective-dominant elevated-burden,心理/抑郁主导型较高负担,0.69,0.77,0.49,1.5,0.01,45.9,1.85 (1.53-2.23),69.43,0.82 (0.67-1.00),68.1,2.14 (1.92-2.38),1,high_burden_high_affective_spared_cardiometabolic_chronic,C4: affective elevated*,*,Requires manual review before final label lock.,1,affective-dominant elevated-burden,affective-dominant elevated-burden [caveat],locked_with_caveat_auto_v0,caveat,Keep baseline domain-profile name; avoid mortality-driven interpretation and report sensitivity caveat.,1,C4: affective elevated [cav]
strict_earliest_primary,strict_primary,HRS,HRS_C5,5,649,6.36,functional-dominant high-burden,功能主导型高负担,functional-dominant high-burden [review],功能主导型高负担 [review],review_required_not_locked,mortality HR drift; Phase 14 covariate sensitivity stability flag,provisional,functional,cognitive,mortality-risk,functional-dominant high-burden,功能主导型高负担,1.14,2.12,0.65,0.93,0.86,42.62,1.42 (1.16-1.72),57.14,0.51 (0.42-0.62),79.75,2.88 (2.59-3.19),1,high_burden_high_functional_spared_cognitive,C5: functional high*,*,Requires manual review before final label lock.,2,functional-dominant high-burden,functional-dominant high-burden [caveat],locked_with_caveat_auto_v0,caveat,Keep baseline domain-profile name; avoid mortality-driven interpretation and report sensitivity caveat.,1,C5: functional high [cav]
strict_earliest_primary,strict_primary,MHAS,MHAS_C1,1,2719,40.38,intermediate-burden with spared cardiometabolic,心代谢/慢病相对保留的中等负担,intermediate-burden with spared cardiometabolic,心代谢/慢病相对保留的中等负担,locked_for_draft,,moderate,,cardiometabolic,,intermediate-burden with spared cardiometabolic,心代谢/慢病相对保留的中等负担,-0.41,-0.32,-0.1,-0.26,-0.96,19.88,1.00 (1.00-1.00),60.26,1.00 (1.00-1.00),23.67,1.00 (1.00-1.00),0,intermediate_spared_cardiometabolic_chronic,C1: intermediate spared cardiomet,,Can be used in draft tables/figures after final human sign-off.,0,intermediate-burden with spared cardiometabolic,intermediate-burden with spared cardiometabolic,accepted_from_phase16,none,No Phase 17 review flag.,0,C1: intermediate spared cardiomet
strict_earliest_primary,strict_primary,MHAS,MHAS_C2,2,2267,33.67,cardiometabolic-dominant intermediate-burden,心代谢/慢病主导型中等负担,cardiometabolic-dominant intermediate-burden,心代谢/慢病主导型中等负担,locked_for_draft,,high,cardiometabolic,,functional-risk,cardiometabolic-dominant intermediate-burden,心代谢/慢病主导型中等负担,0.0,-0.32,-0.06,-0.02,0.42,28.85,1.60 (1.38-1.85),43.91,0.53 (0.47-0.59),32.02,1.36 (1.22-1.52),0,intermediate_high_cardiometabolic_chronic,C2: cardiomet intermediate,,Can be used in draft tables/figures after final human sign-off.,0,cardiometabolic-dominant intermediate-burden,cardiometabolic-dominant intermediate-burden,accepted_from_phase16,none,No Phase 17 review flag.,0,C2: cardiomet intermediate
strict_earliest_primary,strict_primary,MHAS,MHAS_C3,3,760,11.29,cardiometabolic-dominant elevated-burden,心代谢/慢病主导型较高负担,cardiometabolic-dominant elevated-burden,心代谢/慢病主导型较高负担,locked_for_draft,,high,cardiometabolic,functional;cognitive,functional-risk;mortality-risk,cardiometabolic-dominant elevated-burden,心代谢/慢病主导型较高负担,0.54,-0.02,0.07,0.29,1.8,37.14,2.18 (1.79-2.67),25.25,0.23 (0.19-0.28),50.55,2.41 (2.12-2.75),0,high_burden_high_cardiometabolic_chronic_spared_functional_cognitive,C3: cardiomet elevated,,Can be used in draft tables/figures after final human sign-off.,0,cardiometabolic-dominant elevated-burden,cardiometabolic-dominant elevated-burden,accepted_from_phase16,none,No Phase 17 review flag.,0,C3: cardiomet elevated
strict_earliest_primary,strict_primary,MHAS,MHAS_C4,4,467,6.94,functional-dominant elevated-burden,功能主导型较高负担,functional-dominant elevated-burden,功能主导型较高负担,locked_for_draft,,moderate,functional,cardiometabolic,mortality-risk,functional-dominant elevated-burden,功能主导型较高负担,0.68,1.82,0.37,0.51,-0.0,29.3,1.21 (0.92-1.60),45.01,0.70 (0.56-0.87),58.81,2.13 (1.84-2.47),0,high_burden_high_functional_spared_cardiometabolic_chronic,C4: functional elevated,,Can be used in draft tables/figures after final human sign-off.,0,functional-dominant elevated-burden,functional-dominant elevated-burden,accepted_from_phase16,none,No Phase 17 review flag.,0,C4: functional elevated
strict_earliest_primary,strict_primary,MHAS,MHAS_C5,5,520,7.72,functional-dominant elevated-burden,功能主导型较高负担,functional-dominant elevated-burden,功能主导型较高负担,locked_for_draft,,moderate,functional,cognitive,mortality-risk,functional-dominant elevated-burden,功能主导型较高负担,0.72,1.54,0.28,0.62,0.42,34.03,1.49 (1.16-1.90),40.34,0.58 (0.47-0.71),55.51,1.95 (1.69-2.26),0,high_burden_high_functional_spared_cognitive,C5: functional elevated,,Can be used in draft tables/figures after final human sign-off.,0,functional-dominant elevated-burden,functional-dominant elevated-burden,accepted_from_phase16,none,No Phase 17 review flag.,0,C5: functional elevated
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,KLoSA_C1,1,1986,48.66,intermediate-burden with spared cardiometabolic,心代谢/慢病相对保留的中等负担,intermediate-burden with spared cardiometabolic,心代谢/慢病相对保留的中等负担,locked_for_draft,bridge sensitivity cohort; Bridge-sensitivity cohort display needs explicit footnote,moderate,,cardiometabolic,,intermediate-burden with spared cardiometabolic,心代谢/慢病相对保留的中等负担,-0.35,-0.19,-0.18,-0.18,-0.86,27.01,1.00 (1.00-1.00),33.26,1.00 (1.00-1.00),12.68,1.00 (1.00-1.00),0,intermediate_spared_cardiometabolic_chronic,C1: intermediate spared cardiomet,,Can be used in draft tables/figures after final human sign-off.,0,intermediate-burden with spared cardiometabolic,intermediate-burden with spared cardiometabolic,accepted_from_phase16,none,No Phase 17 review flag.,0,C1: intermediate spared cardiomet
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,KLoSA_C2,2,1428,34.99,cardiometabolic-dominant intermediate-burden,心代谢/慢病主导型中等负担,cardiometabolic-dominant intermediate-burden [review],心代谢/慢病主导型中等负担 [review],review_required_not_locked,mortality HR drift; bridge sensitivity cohort; Phase 14 covariate sensitivity stability flag; Bridge-sensitivity cohort display needs explicit footnote,provisional,cardiometabolic,,,cardiometabolic-dominant intermediate-burden,心代谢/慢病主导型中等负担,-0.02,-0.3,-0.21,-0.15,0.58,35.69,1.39 (1.19-1.62),28.11,0.77 (0.66-0.90),15.79,0.96 (0.80-1.15),1,intermediate_high_cardiometabolic_chronic,C2: cardiomet intermediate*,*,Requires manual review before final label lock.,1,cardiometabolic-dominant intermediate-burden,cardiometabolic-dominant intermediate-burden [caveat],locked_with_caveat_auto_v0,caveat,Keep baseline domain-profile name; avoid mortality-driven interpretation and report sensitivity caveat.,1,C2: cardiomet intermediate [cav]
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,KLoSA_C3,3,667,16.34,functional/cardiometabolic-dominant high-burden,功能/心代谢/慢病主导型高负担,functional/cardiometabolic-dominant high-burden,功能/心代谢/慢病主导型高负担,locked_for_draft,bridge sensitivity cohort; Bridge-sensitivity cohort display needs explicit footnote,high,functional;cardiometabolic,,,functional/cardiometabolic-dominant high-burden,功能/心代谢/慢病主导型高负担,1.01,1.12,0.96,0.72,1.25,25.21,0.73 (0.59-0.92),21.66,0.53 (0.42-0.67),39.72,1.32 (1.10-1.58),0,high_burden_severity_aligned,C3: functional/cardiomet high,,Can be used in draft tables/figures after final human sign-off.,0,functional/cardiometabolic-dominant high-burden,functional/cardiometabolic-dominant high-burden,accepted_from_phase16,none,No Phase 17 review flag.,0,C3: functional/cardiomet high
functional_bridge_wave_adjusted_sensitivity,bridge_sensitivity,SHARE,SHARE_C1,1,11272,31.31,low-burden with spared cardiometabolic,心代谢/慢病相对保留的低负担,low-burden with spared cardiometabolic,心代谢/慢病相对保留的低负担,locked_for_draft,bridge sensitivity cohort; Bridge-sensitivity cohort display needs explicit footnote,moderate,,cardiometabolic,,low-burden with spared cardiometabolic,心代谢/慢病相对保留的低负担,-0.63,-0.69,-0.41,-0.65,-0.75,8.36,1.00 (1.00-1.00),24.42,1.00 (1.00-1.00),3.8,1.00 (1.00-1.00),0,low_burden_severity_aligned,C1: low spared cardiomet,,Can be used in draft tables/figures after final human sign-off.,0,low-burden with spared cardiometabolic,low-burden with spared cardiometabolic,accepted_from_phase16,none,No Phase 17 review flag.,0,C1: low spared cardiomet
functional_bridge_wave_adjusted_sensitivity,bridge_sensitivity,SHARE,SHARE_C2,2,7860,21.83,cardiometabolic-dominant intermediate-burden,心代谢/慢病主导型中等负担,cardiometabolic-dominant intermediate-burden,心代谢/慢病主导型中等负担,locked_for_draft,bridge sensitivity cohort; Bridge-sensitivity cohort display needs explicit footnote,high,cardiometabolic,affective,,cardiometabolic-dominant intermediate-burden,心代谢/慢病主导型中等负担,-0.18,-0.31,-0.28,-0.59,0.47,14.79,1.37 (1.22-1.55),25.45,0.98 (0.90-1.07),9.02,1.48 (1.27-1.73),0,intermediate_high_cardiometabolic_chronic_spared_affective,C2: cardiomet intermediate,,Can be used in draft tables/figures after final human sign-off.,0,cardiometabolic-dominant intermediate-burden,cardiometabolic-dominant intermediate-burden,accepted_from_phase16,none,No Phase 17 review flag.,0,C2: cardiomet intermediate
functional_bridge_wave_adjusted_sensitivity,bridge_sensitivity,SHARE,SHARE_C3,3,7032,19.53,affective-dominant intermediate-burden,心理/抑郁主导型中等负担,affective-dominant intermediate-burden,心理/抑郁主导型中等负担,locked_for_draft,bridge sensitivity cohort; Bridge-sensitivity cohort display needs explicit footnote,high,affective,cardiometabolic,functional-risk;mortality-risk,affective-dominant intermediate-burden,心理/抑郁主导型中等负担,-0.05,-0.18,-0.29,0.73,-0.44,14.9,1.64 (1.45-1.85),31.93,1.41 (1.29-1.53),8.5,1.67 (1.42-1.96),0,intermediate_high_affective_spared_cardiometabolic_chronic,C3: affective intermediate,,Can be used in draft tables/figures after final human sign-off.,0,affective-dominant intermediate-burden,affective-dominant intermediate-burden,accepted_from_phase16,none,No Phase 17 review flag.,0,C3: affective intermediate
functional_bridge_wave_adjusted_sensitivity,bridge_sensitivity,SHARE,SHARE_C4,4,6774,18.81,elevated-burden with spared functional,功能相对保留的较高负担,elevated-burden with spared functional [review],功能相对保留的较高负担 [review],review_required_not_locked,bridge sensitivity cohort; Phase 14 covariate sensitivity stability flag; Bridge-sensitivity cohort display needs explicit footnote,moderate,,functional,functional-risk;mortality-risk,elevated-burden with spared functional,功能相对保留的较高负担,0.67,0.32,0.84,0.66,0.86,28.64,2.51 (2.22-2.84),28.9,1.10 (1.00-1.22),27.21,2.55 (2.21-2.95),0,high_burden_spared_functional,C4: elevated with spared functional*,*,Requires manual review before final label lock.,2,elevated-burden with spared functional,elevated-burden with spared functional [caveat],locked_with_caveat_auto_v0,caveat,Keep baseline domain-profile name; avoid mortality-driven interpretation and report sensitivity caveat.,1,C4: elevated spared functional [cav]
functional_bridge_wave_adjusted_sensitivity,bridge_sensitivity,SHARE,SHARE_C5,5,3068,8.52,functional/cognitive-dominant high-burden,功能/认知主导型高负担,functional/cognitive-dominant high-burden [review],功能/认知主导型高负担 [review],review_required_not_locked,mortality HR drift; bridge sensitivity cohort; Phase 14 covariate sensitivity stability flag; Bridge-sensitivity cohort display needs explicit footnote,provisional,functional;cognitive,affective;cardiometabolic,mortality-risk,functional/cognitive-dominant high-burden,功能/认知主导型高负担,1.07,2.23,1.02,0.64,0.4,16.73,1.21 (1.01-1.45),30.13,1.18 (1.03-1.35),41.05,3.64 (3.13-4.24),1,high_burden_high_functional_spared_affective_cardiometabolic_chronic,C5: functional/cognitive-dominant high*,*,Requires manual review before final label lock.,3,functional/cognitive-dominant high-burden,functional/cognitive-dominant high-burden [caveat],locked_with_caveat_auto_v0,caveat,Keep baseline domain-profile name; avoid mortality-driven interpretation and report sensitivity caveat.,1,C5: func/cog high [cav]
strict_earliest_primary,strict_primary,LASI,LASI_C1,1,15915,58.01,intermediate-burden with spared cardiometabolic,心代谢/慢病相对保留的中等负担,intermediate-burden with spared cardiometabolic [baseline-only],心代谢/慢病相对保留的中等负担 [baseline-only],baseline_only_hold,baseline profile only in current CSV pass; Baseline-profile only until follow-up validation is available,moderate,,cardiometabolic,,intermediate-burden with spared cardiometabolic,心代谢/慢病相对保留的中等负担,-0.19,-0.1,0.09,-0.02,-0.73,,1.00 (1.00-1.00),,1.00 (1.00-1.00),,,0,intermediate_spared_cardiometabolic_chronic,C1: intermediate spared cardiomet [hold],hold,Baseline-profile-only class; do not use as outcome-validated label.,0,intermediate-burden with spared cardiometabolic,intermediate-burden with spared cardiometabolic [baseline-only],baseline_only_hold,hold,LASI lacks follow-up validation in the current cleaned CSV pass.,1,C1: intermediate spared cardiomet [hold]
strict_earliest_primary,strict_primary,LASI,LASI_C2,2,5641,20.56,cardiometabolic-dominant intermediate-burden,心代谢/慢病主导型中等负担,cardiometabolic-dominant intermediate-burden [baseline-only],心代谢/慢病主导型中等负担 [baseline-only],baseline_only_hold,baseline profile only in current CSV pass; Baseline-profile only until follow-up validation is available,high,cardiometabolic,functional,,cardiometabolic-dominant intermediate-burden,心代谢/慢病主导型中等负担,-0.04,-0.61,-0.38,-0.13,0.95,,,,,,,0,intermediate_high_cardiometabolic_chronic_spared_functional,C2: cardiomet intermediate [hold],hold,Baseline-profile-only class; do not use as outcome-validated label.,0,cardiometabolic-dominant intermediate-burden,cardiometabolic-dominant intermediate-burden [baseline-only],baseline_only_hold,hold,LASI lacks follow-up validation in the current cleaned CSV pass.,1,C2: cardiomet intermediate [hold]
strict_earliest_primary,strict_primary,LASI,LASI_C3,3,5877,21.42,cardiometabolic-dominant elevated-burden,心代谢/慢病主导型较高负担,cardiometabolic-dominant elevated-burden [baseline-only],心代谢/慢病主导型较高负担 [baseline-only],baseline_only_hold,baseline profile only in current CSV pass; Baseline-profile only until follow-up validation is available,high,cardiometabolic,cognitive,,cardiometabolic-dominant elevated-burden,心代谢/慢病主导型较高负担,0.51,0.72,0.13,0.17,1.04,,,,,,,0,high_burden_high_cardiometabolic_chronic_spared_cognitive,C3: cardiomet elevated [hold],hold,Baseline-profile-only class; do not use as outcome-validated label.,0,cardiometabolic-dominant elevated-burden,cardiometabolic-dominant elevated-burden [baseline-only],baseline_only_hold,hold,LASI lacks follow-up validation in the current cleaned CSV pass.,1,C3: cardiomet elevated [hold]
