cohort,class_id,class,phase18_label_en_v0,phase18_decision_v0,phase18_marker,human_signoff_required,phase18_rationale,phase15_review_reason,phase14_stability_flag_count,phase14_flag_reasons,recommended_signoff_action,signoff_decision,reviewer,review_date,notes
SHARE,SHARE_C5,5,functional/cognitive-dominant high-burden,locked_with_caveat_auto_v0,caveat,1,Keep baseline domain-profile name; avoid mortality-driven interpretation and report sensitivity caveat.,mortality HR drift; bridge sensitivity cohort; Phase 14 covariate sensitivity stability flag; Bridge-sensitivity cohort display needs explicit footnote,3,direction_change+significance_change+material_log_change; significance_change,Approve caveat wording and confirm the label is not interpreted as a mortality-driven phenotype.,,,,
CHARLS,CHARLS_C3,3,functional-dominant high-burden,accepted_from_phase16,none,0,No Phase 17 review flag.,,0,,No required action unless the clinical reviewer edits wording.,,,,
ELSA,ELSA_C1,1,intermediate-burden with spared cardiometabolic,accepted_from_phase16,none,0,No Phase 17 review flag.,,0,,No required action unless the clinical reviewer edits wording.,,,,
ELSA,ELSA_C2,2,cardiometabolic-dominant intermediate-burden,accepted_from_phase16,none,0,No Phase 17 review flag.,,0,,No required action unless the clinical reviewer edits wording.,,,,
ELSA,ELSA_C4,4,cardiometabolic-dominant elevated-burden,accepted_from_phase16,none,0,No Phase 17 review flag.,,0,,No required action unless the clinical reviewer edits wording.,,,,
HRS,HRS_C1,1,low-burden with spared cardiometabolic,accepted_from_phase16,none,0,No Phase 17 review flag.,,0,,No required action unless the clinical reviewer edits wording.,,,,
HRS,HRS_C2,2,cardiometabolic-dominant intermediate-burden,accepted_from_phase16,none,0,No Phase 17 review flag.,,0,,No required action unless the clinical reviewer edits wording.,,,,
KLoSA,KLoSA_C1,1,intermediate-burden with spared cardiometabolic,accepted_from_phase16,none,0,No Phase 17 review flag.,bridge sensitivity cohort; Bridge-sensitivity cohort display needs explicit footnote,0,,No required action unless the clinical reviewer edits wording.,,,,
KLoSA,KLoSA_C3,3,functional/cardiometabolic-dominant high-burden,accepted_from_phase16,none,0,No Phase 17 review flag.,bridge sensitivity cohort; Bridge-sensitivity cohort display needs explicit footnote,0,,No required action unless the clinical reviewer edits wording.,,,,
MHAS,MHAS_C1,1,intermediate-burden with spared cardiometabolic,accepted_from_phase16,none,0,No Phase 17 review flag.,,0,,No required action unless the clinical reviewer edits wording.,,,,
MHAS,MHAS_C2,2,cardiometabolic-dominant intermediate-burden,accepted_from_phase16,none,0,No Phase 17 review flag.,,0,,No required action unless the clinical reviewer edits wording.,,,,
MHAS,MHAS_C3,3,cardiometabolic-dominant elevated-burden,accepted_from_phase16,none,0,No Phase 17 review flag.,,0,,No required action unless the clinical reviewer edits wording.,,,,
MHAS,MHAS_C4,4,functional-dominant elevated-burden,accepted_from_phase16,none,0,No Phase 17 review flag.,,0,,No required action unless the clinical reviewer edits wording.,,,,
MHAS,MHAS_C5,5,functional-dominant elevated-burden,accepted_from_phase16,none,0,No Phase 17 review flag.,,0,,No required action unless the clinical reviewer edits wording.,,,,
SHARE,SHARE_C1,1,low-burden with spared cardiometabolic,accepted_from_phase16,none,0,No Phase 17 review flag.,bridge sensitivity cohort; Bridge-sensitivity cohort display needs explicit footnote,0,,No required action unless the clinical reviewer edits wording.,,,,
SHARE,SHARE_C2,2,cardiometabolic-dominant intermediate-burden,accepted_from_phase16,none,0,No Phase 17 review flag.,bridge sensitivity cohort; Bridge-sensitivity cohort display needs explicit footnote,0,,No required action unless the clinical reviewer edits wording.,,,,
SHARE,SHARE_C3,3,affective-dominant intermediate-burden,accepted_from_phase16,none,0,No Phase 17 review flag.,bridge sensitivity cohort; Bridge-sensitivity cohort display needs explicit footnote,0,,No required action unless the clinical reviewer edits wording.,,,,
