Panel	Option	Panel role	Variant budget	Candidate ID	Candidate level	Candidate maturity	HF capsule ID	PERSIST source ID	Generic template path	Native workflow	Candidate source	Candidate kind	PERSIST atlas major class	PERSIST atlas subtype	Data fit gate	Data fit notes	Visual fit gate	Visual fit notes	Task fit score	Data fit score	Visual grammar score	Source-code readiness score	Readability score	Total score	Render decision	Runtime	Env	Capsule path	Reference visual	Source script	Source code snapshot	Why it fits	Risk	Candidate title	Candidate family	Candidate technique
Fig2A	Fig2A.3	main_complex	top 2-3 variants	mapping:0153:group_distribution/box_violin_dot_template.py	persist_indexed_code	needs_porting			/mnt/e/Python/PERSIST/_portable_patterns/patterns/group_distribution/box_violin_dot_template.py		SOURCE_TO_PATTERN_MAPPING	source_to_pattern_mapping	Group comparison and distribution	Forest/dot-interval uncertainty plot	pass	Original project table exists; mapping required but no simulated data needed.	conditional_pass	Needs porting/readability check at panel size.	22	25	10	5	10	72	render_optional	Python / PERSIST matplotlib	research-py312			/mnt/e/Python/PERSIST/2026年01月07日 Python绘制带有数据标注和误差棒的多面板多重坐标轴的水平柱状图\20260107-Python绘制带有数据标注和误差棒的多面板多重坐标轴的水平柱状图.py		2026年01月07日 Python绘制带有数据标注和误差棒的多面板多重坐标轴的水平柱状图\20260107-Python绘制带有数据标注和误差棒的多面板多重坐标轴的水平柱状图.py -> Are the selected GMM partitions stable enough to interpret?	Need source-code-first port and exact data binding; reject if reference/source cannot be verified.	2026年01月07日 Python绘制带有数据标注和误差棒的多面板多重坐标轴的水平柱状图\20260107-Python绘制带有数据标注和误差棒的多面板多重坐标轴的水平柱状图.py	组间差异与分布	group_distribution/box_violin_dot_template.py
Fig2A	Fig2A.4	main_complex	top 2-3 variants	PERSIST-0981	persist_indexed_code	needs_porting		PERSIST-0981			PERSIST_plot_code_index	indexed_source_code	Group comparison and distribution	Forest/dot-interval uncertainty plot	pass	Original project table exists; mapping required but no simulated data needed.	conditional_pass	Needs porting/readability check at panel size.	20	25	9	5	10	69	render_optional	Python / PERSIST matplotlib	research-py312			/mnt/e/Python/PERSIST/_portable_patterns/patterns/group_distribution/forest_plot_template.py		group_distribution -> Are the selected GMM partitions stable enough to interpret?	Need source-code-first port and exact data binding; reject if reference/source cannot be verified.	group_distribution	未细分/待人工复核	
Fig2A	Fig2A.5	main_complex	top 2-3 variants	atlas:139:2026年01月07日 Python绘制带有数据标注和误差棒的多面板多重坐标轴的水平柱状图	hf_capsule	needs_porting					PERSIST_atlas_index	atlas_reference	Group comparison and distribution	Forest/dot-interval uncertainty plot	pass	Original project table exists; mapping required but no simulated data needed.	conditional_pass	Needs porting/readability check at panel size.	15	25	11	5	10	66	render_optional	Python / PERSIST matplotlib	research-py312		/mnt/e/Python/PERSIST/2026年01月07日 Python绘制带有数据标注和误差棒的多面板多重坐标轴的水平柱状图/chart16.png			带有数据标注和误差棒的多面板多重坐标轴的水平柱状图 -> Are the selected GMM partitions stable enough to interpret?	Need source-code-first port and exact data binding; reject if reference/source cannot be verified.	带有数据标注和误差棒的多面板多重坐标轴的水平柱状图	atlas_reference	带有数据标注和误差棒的多面板多重坐标轴的水平柱状图
Fig2A	Fig2A.6	main_complex	top 2-3 variants	PERSIST-0154	persist_indexed_code	needs_porting		PERSIST-0154			PERSIST_plot_code_index	indexed_source_code	Group comparison and distribution	Forest/dot-interval uncertainty plot	pass	Original project table exists; mapping required but no simulated data needed.	conditional_pass	Needs porting/readability check at panel size.	15	25	11	5	10	66	render_optional	Python / PERSIST matplotlib	research-py312			/mnt/e/Python/PERSIST/2026年01月07日 Python绘制带有数据标注和误差棒的多面板多重坐标轴的水平柱状图/20260107-Python绘制带有数据标注和误差棒的多面板多重坐标轴的水平柱状图.py		2026年01月07日 Python绘制带有数据标注和误差棒的多面板多重坐标轴的水平柱状图 -> Are the selected GMM partitions stable enough to interpret?	Need source-code-first port and exact data binding; reject if reference/source cannot be verified.	2026年01月07日 Python绘制带有数据标注和误差棒的多面板多重坐标轴的水平柱状图	组间差异与分布	组间差异与分布; 基础发表级图形
Fig2A	Fig2A.7	main_complex	top 2-3 variants	HF139_2026-01-07_2cd37105	hf_capsule	needs_porting	HF139_2026-01-07_2cd37105				FOLDER_HIGH_FIDELITY_CATALOG	high_fidelity_capsule	Group comparison and distribution	Forest/dot-interval uncertainty plot	pass	Original project table exists; mapping required but no simulated data needed.	conditional_pass	Needs porting/readability check at panel size.	11	25	8	10	10	64	render_optional	Python / PERSIST matplotlib	research-py312	E:\Python\PERSIST\_portable_patterns\high_fidelity_by_folder\capsules\HF139_2026-01-07_2cd37105	E:\Python\PERSIST\2026年01月07日 Python绘制带有数据标注和误差棒的多面板多重坐标轴的水平柱状图\chart16.png	E:\Python\PERSIST\2026年01月07日 Python绘制带有数据标注和误差棒的多面板多重坐标轴的水平柱状图\20260107-Python绘制带有数据标注和误差棒的多面板多重坐标轴的水平柱状图.py		2026年01月07日 Python绘制带有数据标注和误差棒的多面板多重坐标轴的水平柱状图 -> Are the selected GMM partitions stable enough to interpret?	Need source-code-first port and exact data binding; reject if reference/source cannot be verified.	2026年01月07日 Python绘制带有数据标注和误差棒的多面板多重坐标轴的水平柱状图	组合Dashboard/多panel图	大画布、多 panel、内嵌图或标题带;Times 字体、粗线框、强排版;成套配色/渐变/色标;组间分布/统计显著性;时间序列/趋势/双轴;3D 图形
Fig2A	Fig2A.8	main_complex	top 2-3 variants	atlas:208:2026年05月16日 森林图	hf_capsule	needs_porting					PERSIST_atlas_index	atlas_reference	Group comparison and distribution	Forest/dot-interval uncertainty plot	pass	Original project table exists; mapping required but no simulated data needed.	conditional_pass	Needs porting/readability check at panel size.	13	25	10	5	10	63	render_optional	Python / PERSIST matplotlib	research-py312		/mnt/e/Python/PERSIST/2026年05月16日 森林图/forest_chart_scheme_53.png			森林图 (Forest plot) -> Are the selected GMM partitions stable enough to interpret?	Need source-code-first port and exact data binding; reject if reference/source cannot be verified.	森林图 (Forest plot)	atlas_reference	森林图 (Forest plot)
Fig2B	Fig2B.1	main_complex	top 2-3 variants	generic_portable_template:correlation_omics/correlation_heatmap_template.py	generic_portable_template	production_ready			/mnt/e/Python/PERSIST/_portable_patterns/patterns/correlation_omics/correlation_heatmap_template.py		TEMPLATE_CATALOG	portable_template	Multivariate omics pattern	Matrix heatmap; method agreement matrix	pass	Original project table exists; mapping required but no simulated data needed.	pass	Visual grammar matches reader task.	30	25	20	15	10	100	render_recommended	Python / PERSIST matplotlib	research-py312			/mnt/e/Python/PERSIST/_portable_patterns/patterns/correlation_omics/correlation_heatmap_template.py		相关热图+FDR -> Which alternative algorithms agree with the selected GMM labels?	Need source-code-first port and exact data binding; reject if reference/source cannot be verified.	相关热图+FDR	回归与关联分析;多变量降维与组学	相关热图+FDR
Fig2B	Fig2B.2	main_complex	top 2-3 variants	mapping:0030:correlation_omics/correlation_heatmap_template.py	persist_indexed_code	needs_porting			/mnt/e/Python/PERSIST/_portable_patterns/patterns/correlation_omics/correlation_heatmap_template.py		SOURCE_TO_PATTERN_MAPPING	source_to_pattern_mapping	Multivariate omics pattern	Matrix heatmap; method agreement matrix	pass	Original project table exists; mapping required but no simulated data needed.	pass	Visual grammar matches reader task.	30	25	20	5	10	90	render_recommended	Python / PERSIST matplotlib	research-py312			/mnt/e/Python/PERSIST/2025年10月7日 Python绘制扇形相关性热图-包括pearson, spearman, kendall\扇形相关性热图.py		2025年10月7日 Python绘制扇形相关性热图-包括pearson, spearman, kendall\扇形相关性热图.py -> Which alternative algorithms agree with the selected GMM labels?	Need source-code-first port and exact data binding; reject if reference/source cannot be verified.	2025年10月7日 Python绘制扇形相关性热图-包括pearson, spearman, kendall\扇形相关性热图.py	多变量降维与组学	correlation_omics/correlation_heatmap_template.py
Fig2B	Fig2B.3	main_complex	top 2-3 variants	mapping:0029:correlation_omics/correlation_heatmap_template.py	persist_indexed_code	needs_porting			/mnt/e/Python/PERSIST/_portable_patterns/patterns/correlation_omics/correlation_heatmap_template.py		SOURCE_TO_PATTERN_MAPPING	source_to_pattern_mapping	Multivariate omics pattern	Matrix heatmap; method agreement matrix	pass	Original project table exists; mapping required but no simulated data needed.	pass	Visual grammar matches reader task.	30	25	20	5	10	90	render_recommended	Python / PERSIST matplotlib	research-py312			/mnt/e/Python/PERSIST/2025年10月6日 期刊图片复现Python绘制带有分组区域的环状相关性热图\环状相关性热图-带分组标识.py		2025年10月6日 期刊图片复现Python绘制带有分组区域的环状相关性热图\环状相关性热图-带分组标识.py -> Which alternative algorithms agree with the selected GMM labels?	Need source-code-first port and exact data binding; reject if reference/source cannot be verified.	2025年10月6日 期刊图片复现Python绘制带有分组区域的环状相关性热图\环状相关性热图-带分组标识.py	多变量降维与组学	correlation_omics/correlation_heatmap_template.py
Fig2B	Fig2B.4	main_complex	top 2-3 variants	mapping:0031:correlation_omics/correlation_heatmap_template.py	persist_indexed_code	needs_porting			/mnt/e/Python/PERSIST/_portable_patterns/patterns/correlation_omics/correlation_heatmap_template.py		SOURCE_TO_PATTERN_MAPPING	source_to_pattern_mapping	Multivariate omics pattern	Matrix heatmap; method agreement matrix	pass	Original project table exists; mapping required but no simulated data needed.	pass	Visual grammar matches reader task.	30	25	20	5	10	90	render_recommended	Python / PERSIST matplotlib	research-py312			/mnt/e/Python/PERSIST/2025年10月8日 Python绘制花瓣状多组相关性热图\花瓣状相关性热图.py		2025年10月8日 Python绘制花瓣状多组相关性热图\花瓣状相关性热图.py -> Which alternative algorithms agree with the selected GMM labels?	Need source-code-first port and exact data binding; reject if reference/source cannot be verified.	2025年10月8日 Python绘制花瓣状多组相关性热图\花瓣状相关性热图.py	多变量降维与组学	correlation_omics/correlation_heatmap_template.py
Fig2B	Fig2B.5	main_complex	top 2-3 variants	atlas:187:2026年04月09日 Python绘制高颜值相关性矩阵图	hf_capsule	needs_porting					PERSIST_atlas_index	atlas_reference	Multivariate omics pattern	Matrix heatmap; method agreement matrix	pass	Original project table exists; mapping required but no simulated data needed.	pass	Visual grammar matches reader task.	27	25	20	5	10	87	render_recommended	Python / PERSIST matplotlib	research-py312		/mnt/e/Python/PERSIST/2026年04月09日 Python绘制高颜值相关性矩阵图/correlation_matrix_custom_32.png			相关性热图 -> Which alternative algorithms agree with the selected GMM labels?	Need source-code-first port and exact data binding; reject if reference/source cannot be verified.	相关性热图	atlas_reference	相关性热图
Fig2B	Fig2B.6	main_complex	top 2-3 variants	atlas:070:2025年9月14日 期刊图片复现python绘制六边形相关性矩阵图	hf_capsule	needs_porting					PERSIST_atlas_index	atlas_reference	Multivariate omics pattern	Matrix heatmap; method agreement matrix	pass	Original project table exists; mapping required but no simulated data needed.	pass	Visual grammar matches reader task.	25	25	18	5	10	83	render_recommended	Python / PERSIST matplotlib	research-py312		/mnt/e/Python/PERSIST/_atlas/generated_previews/070_2025年9月14日_期刊图片复现python绘制六边形相关性矩阵图/source_adapted_preview.png			相关性热图 -> Which alternative algorithms agree with the selected GMM labels?	Need source-code-first port and exact data binding; reject if reference/source cannot be verified.	相关性热图	atlas_reference	相关性热图
Fig2B	Fig2B.7	main_complex	top 2-3 variants	mapping:0041:correlation_omics/pca_heatmap_template.py	persist_indexed_code	needs_porting			/mnt/e/Python/PERSIST/_portable_patterns/patterns/correlation_omics/pca_heatmap_template.py		SOURCE_TO_PATTERN_MAPPING	source_to_pattern_mapping	Multivariate omics pattern	Matrix heatmap; method agreement matrix	pass	Original project table exists; mapping required but no simulated data needed.	pass	Visual grammar matches reader task.	24	25	18	5	10	82	render_recommended	Python / PERSIST matplotlib	research-py312			/mnt/e/Python/PERSIST/2025年11月20日 期刊图片复现Python绘制双变量对角线分割组合三角热图\1120-组合热力图.py		2025年11月20日 期刊图片复现Python绘制双变量对角线分割组合三角热图\1120-组合热力图.py -> Which alternative algorithms agree with the selected GMM labels?	Need source-code-first port and exact data binding; reject if reference/source cannot be verified.	2025年11月20日 期刊图片复现Python绘制双变量对角线分割组合三角热图\1120-组合热力图.py	多变量降维与组学	correlation_omics/pca_heatmap_template.py
Fig2B	Fig2B.8	main_complex	top 2-3 variants	PERSIST-0111	persist_indexed_code	needs_porting		PERSIST-0111			PERSIST_plot_code_index	indexed_source_code	Multivariate omics pattern	Matrix heatmap; method agreement matrix	pass	Original project table exists; mapping required but no simulated data needed.	pass	Visual grammar matches reader task.	22	25	16	5	10	78	render_recommended	Python / PERSIST matplotlib	research-py312			/mnt/e/Python/PERSIST/2025年7月28日 期刊图片复现python绘制地理探测器单因子柱状图+相关性分析热图组合图/横向条形图+矩阵图.py		2025年7月28日 期刊图片复现python绘制地理探测器单因子柱状图+相关性分析热图组合图 -> Which alternative algorithms agree with the selected GMM labels?	Need source-code-first port and exact data binding; reject if reference/source cannot be verified.	2025年7月28日 期刊图片复现python绘制地理探测器单因子柱状图+相关性分析热图组合图	多变量降维与组学	回归与关联分析; 多变量降维与组学; 空间/时间序列/影像; 基础发表级图形
Fig2C	Fig2C.1	main_complex	top 1-2 variants	generic_portable_template:group_distribution/forest_plot_template.py	generic_portable_template	production_ready			/mnt/e/Python/PERSIST/_portable_patterns/patterns/group_distribution/forest_plot_template.py		TEMPLATE_CATALOG	portable_template	Group comparison and distribution	Thresholded ranking bar/dot plot	pass	Original project table exists; mapping required but no simulated data needed.	conditional_pass	Needs porting/readability check at panel size.	14	25	5	15	10	69	render_optional	Python / PERSIST matplotlib	research-py312			/mnt/e/Python/PERSIST/_portable_patterns/patterns/group_distribution/forest_plot_template.py		森林图 -> Do covariance diagnostics undermine stable latent-subtype claims?	Need source-code-first port and exact data binding; reject if reference/source cannot be verified.	森林图	组间差异与分布	森林图
Fig2C	Fig2C.2	main_complex	top 1-2 variants	mapping:0221:group_distribution/forest_plot_template.py	persist_indexed_code	needs_porting			/mnt/e/Python/PERSIST/_portable_patterns/patterns/group_distribution/forest_plot_template.py		SOURCE_TO_PATTERN_MAPPING	source_to_pattern_mapping	Group comparison and distribution	Thresholded ranking bar/dot plot	pass	Original project table exists; mapping required but no simulated data needed.	conditional_pass	Needs porting/readability check at panel size.	14	25	5	5	10	59	hold_native	Python / PERSIST matplotlib	research-py312			/mnt/e/Python/PERSIST/2026年05月16日 森林图\20260513-森林图.py		2026年05月16日 森林图\20260513-森林图.py -> Do covariance diagnostics undermine stable latent-subtype claims?	Need source-code-first port and exact data binding; reject if reference/source cannot be verified.	2026年05月16日 森林图\20260513-森林图.py	组间差异与分布	group_distribution/forest_plot_template.py
Fig2C	Fig2C.3	main_complex	top 1-2 variants	PERSIST-0981	persist_indexed_code	needs_porting		PERSIST-0981			PERSIST_plot_code_index	indexed_source_code	Group comparison and distribution	Thresholded ranking bar/dot plot	pass	Original project table exists; mapping required but no simulated data needed.	conditional_pass	Needs porting/readability check at panel size.	14	25	5	5	10	59	hold_native	Python / PERSIST matplotlib	research-py312			/mnt/e/Python/PERSIST/_portable_patterns/patterns/group_distribution/forest_plot_template.py		group_distribution -> Do covariance diagnostics undermine stable latent-subtype claims?	Need source-code-first port and exact data binding; reject if reference/source cannot be verified.	group_distribution	未细分/待人工复核	
Fig2C	Fig2C.4	main_complex	top 1-2 variants	atlas:114:2025年11月17日 期刊图片复现Python绘制棒棒糖气泡图	hf_capsule	needs_porting					PERSIST_atlas_index	atlas_reference	Group comparison and distribution	Thresholded ranking bar/dot plot	pass	Original project table exists; mapping required but no simulated data needed.	conditional_pass	Needs porting/readability check at panel size.	6	25	4	5	10	50	hold_native	Python / PERSIST matplotlib	research-py312		/mnt/e/Python/PERSIST/2025年11月17日 期刊图片复现Python绘制棒棒糖气泡图/18.png			相关性气泡图 -> Do covariance diagnostics undermine stable latent-subtype claims?	Need source-code-first port and exact data binding; reject if reference/source cannot be verified.	相关性气泡图	atlas_reference	相关性气泡图
Fig2C	Fig2C.5	main_complex	top 1-2 variants	PERSIST-0038	persist_indexed_code	needs_porting		PERSIST-0038			PERSIST_plot_code_index	indexed_source_code	Group comparison and distribution	Thresholded ranking bar/dot plot	pass	Original project table exists; mapping required but no simulated data needed.	conditional_pass	Needs porting/readability check at panel size.	6	25	4	5	10	50	hold_native	Python / PERSIST matplotlib	research-py312			/mnt/e/Python/PERSIST/2025年11月17日 期刊图片复现Python绘制棒棒糖气泡图/1115-棒棒糖气泡图.py		2025年11月17日 期刊图片复现Python绘制棒棒糖气泡图 -> Do covariance diagnostics undermine stable latent-subtype claims?	Need source-code-first port and exact data binding; reject if reference/source cannot be verified.	2025年11月17日 期刊图片复现Python绘制棒棒糖气泡图	基础发表级图形	基础发表级图形
Fig3A	Fig3A.1	main_high_impact	top 2-3 variants	generic_portable_template:group_distribution/forest_plot_template.py	generic_portable_template	production_ready			/mnt/e/Python/PERSIST/_portable_patterns/patterns/group_distribution/forest_plot_template.py		TEMPLATE_CATALOG	portable_template	Group comparison and distribution	Clinical forest plot; effect size with CI	pass	Original project table exists; mapping required but no simulated data needed.	pass	Visual grammar matches reader task.	30	25	20	15	10	100	render_recommended	Python / PERSIST or R forest if statistical trust boundary needed	research-py312			/mnt/e/Python/PERSIST/_portable_patterns/patterns/group_distribution/forest_plot_template.py		森林图 -> How large are the absolute functional deterioration gradients within strict-core cohorts?	Need source-code-first port and exact data binding; reject if reference/source cannot be verified.	森林图	组间差异与分布	森林图
Fig3A	Fig3A.2	main_high_impact	top 2-3 variants	mapping:0221:group_distribution/forest_plot_template.py	persist_indexed_code	needs_porting			/mnt/e/Python/PERSIST/_portable_patterns/patterns/group_distribution/forest_plot_template.py		SOURCE_TO_PATTERN_MAPPING	source_to_pattern_mapping	Group comparison and distribution	Clinical forest plot; effect size with CI	pass	Original project table exists; mapping required but no simulated data needed.	pass	Visual grammar matches reader task.	30	25	20	5	10	90	render_recommended	Python / PERSIST or R forest if statistical trust boundary needed	research-py312			/mnt/e/Python/PERSIST/2026年05月16日 森林图\20260513-森林图.py		2026年05月16日 森林图\20260513-森林图.py -> How large are the absolute functional deterioration gradients within strict-core cohorts?	Need source-code-first port and exact data binding; reject if reference/source cannot be verified.	2026年05月16日 森林图\20260513-森林图.py	组间差异与分布	group_distribution/forest_plot_template.py
Fig3A	Fig3A.3	main_high_impact	top 2-3 variants	PERSIST-0981	persist_indexed_code	needs_porting		PERSIST-0981			PERSIST_plot_code_index	indexed_source_code	Group comparison and distribution	Clinical forest plot; effect size with CI	pass	Original project table exists; mapping required but no simulated data needed.	conditional_pass	Needs porting/readability check at panel size.	25	25	13	5	10	78	render_recommended	Python / PERSIST or R forest if statistical trust boundary needed	research-py312			/mnt/e/Python/PERSIST/_portable_patterns/patterns/group_distribution/forest_plot_template.py		group_distribution -> How large are the absolute functional deterioration gradients within strict-core cohorts?	Need source-code-first port and exact data binding; reject if reference/source cannot be verified.	group_distribution	未细分/待人工复核	
