analysis_set,analysis_tier,cohort,class_id,class,class_n,class_pct,bmc_label,bmc_label_status,bmc_label_note,functional_score,cognitive_score,affective_score,cardiometabolic_chronic_score,functional_deterioration_ge_0_5sd_event_pct,functional_or_formatted,chronic_progression_ge_1_condition_event_pct,chronic_or_formatted,death_pct,mortality_hr_formatted,mortality_drift_flag,phase18_decision_v0,phase18_rationale
strict_earliest_primary,strict_primary,HRS,HRS_C5,5,649,6.36,functional-dominant high-burden,caveat,Sensitivity caveat retained; interpret as a baseline domain-profile label and do not use mortality signal to define the class.,2.12,0.65,0.93,0.86,42.62,1.42 (1.16-1.72),57.14,0.51 (0.42-0.62),79.75,2.88 (2.59-3.19),1,locked_with_caveat_auto_v0,Keep baseline domain-profile name; avoid mortality-driven interpretation and report sensitivity caveat.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,KLoSA_C1,1,1986,48.66,intermediate-burden with spared cardiometabolic,none,,-0.19,-0.18,-0.18,-0.86,27.01,1.00 (1.00-1.00),33.26,1.00 (1.00-1.00),12.68,1.00 (1.00-1.00),0,accepted_from_phase16,No Phase 17 review flag.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,KLoSA_C2,2,1428,34.99,cardiometabolic-dominant intermediate-burden,caveat,Sensitivity caveat retained; interpret as a baseline domain-profile label and do not use mortality signal to define the class.,-0.3,-0.21,-0.15,0.58,35.69,1.39 (1.19-1.62),28.11,0.77 (0.66-0.90),15.79,0.96 (0.80-1.15),1,locked_with_caveat_auto_v0,Keep baseline domain-profile name; avoid mortality-driven interpretation and report sensitivity caveat.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,KLoSA_C3,3,667,16.34,functional/cardiometabolic-dominant high-burden,none,,1.12,0.96,0.72,1.25,25.21,0.73 (0.59-0.92),21.66,0.53 (0.42-0.67),39.72,1.32 (1.10-1.58),0,accepted_from_phase16,No Phase 17 review flag.
strict_earliest_primary,strict_primary,LASI,LASI_C1,1,15915,58.01,intermediate-burden with spared cardiometabolic,hold,Baseline-profile only; excluded from follow-up outcome-validation claims in the current cleaned CSV pass.,-0.1,0.09,-0.02,-0.73,,1.00 (1.00-1.00),,1.00 (1.00-1.00),,,0,baseline_only_hold,LASI lacks follow-up validation in the current cleaned CSV pass.
strict_earliest_primary,strict_primary,LASI,LASI_C2,2,5641,20.56,cardiometabolic-dominant intermediate-burden,hold,Baseline-profile only; excluded from follow-up outcome-validation claims in the current cleaned CSV pass.,-0.61,-0.38,-0.13,0.95,,,,,,,0,baseline_only_hold,LASI lacks follow-up validation in the current cleaned CSV pass.
strict_earliest_primary,strict_primary,LASI,LASI_C3,3,5877,21.42,cardiometabolic-dominant elevated-burden,hold,Baseline-profile only; excluded from follow-up outcome-validation claims in the current cleaned CSV pass.,0.72,0.13,0.17,1.04,,,,,,,0,baseline_only_hold,LASI lacks follow-up validation in the current cleaned CSV pass.
strict_earliest_primary,strict_primary,MHAS,MHAS_C1,1,2719,40.38,intermediate-burden with spared cardiometabolic,none,,-0.32,-0.1,-0.26,-0.96,19.88,1.00 (1.00-1.00),60.26,1.00 (1.00-1.00),23.67,1.00 (1.00-1.00),0,accepted_from_phase16,No Phase 17 review flag.
strict_earliest_primary,strict_primary,MHAS,MHAS_C2,2,2267,33.67,cardiometabolic-dominant intermediate-burden,none,,-0.32,-0.06,-0.02,0.42,28.85,1.60 (1.38-1.85),43.91,0.53 (0.47-0.59),32.02,1.36 (1.22-1.52),0,accepted_from_phase16,No Phase 17 review flag.
strict_earliest_primary,strict_primary,MHAS,MHAS_C3,3,760,11.29,cardiometabolic-dominant elevated-burden,none,,-0.02,0.07,0.29,1.8,37.14,2.18 (1.79-2.67),25.25,0.23 (0.19-0.28),50.55,2.41 (2.12-2.75),0,accepted_from_phase16,No Phase 17 review flag.
strict_earliest_primary,strict_primary,MHAS,MHAS_C4,4,467,6.94,functional-dominant elevated-burden,none,,1.82,0.37,0.51,-0.0,29.3,1.21 (0.92-1.60),45.01,0.70 (0.56-0.87),58.81,2.13 (1.84-2.47),0,accepted_from_phase16,No Phase 17 review flag.
strict_earliest_primary,strict_primary,MHAS,MHAS_C5,5,520,7.72,functional-dominant elevated-burden,none,,1.54,0.28,0.62,0.42,34.03,1.49 (1.16-1.90),40.34,0.58 (0.47-0.71),55.51,1.95 (1.69-2.26),0,accepted_from_phase16,No Phase 17 review flag.
functional_bridge_wave_adjusted_sensitivity,bridge_sensitivity,SHARE,SHARE_C1,1,11272,31.31,low-burden with spared cardiometabolic,none,,-0.69,-0.41,-0.65,-0.75,8.36,1.00 (1.00-1.00),24.42,1.00 (1.00-1.00),3.8,1.00 (1.00-1.00),0,accepted_from_phase16,No Phase 17 review flag.
functional_bridge_wave_adjusted_sensitivity,bridge_sensitivity,SHARE,SHARE_C2,2,7860,21.83,cardiometabolic-dominant intermediate-burden,none,,-0.31,-0.28,-0.59,0.47,14.79,1.37 (1.22-1.55),25.45,0.98 (0.90-1.07),9.02,1.48 (1.27-1.73),0,accepted_from_phase16,No Phase 17 review flag.
functional_bridge_wave_adjusted_sensitivity,bridge_sensitivity,SHARE,SHARE_C3,3,7032,19.53,affective-dominant intermediate-burden,none,,-0.18,-0.29,0.73,-0.44,14.9,1.64 (1.45-1.85),31.93,1.41 (1.29-1.53),8.5,1.67 (1.42-1.96),0,accepted_from_phase16,No Phase 17 review flag.
functional_bridge_wave_adjusted_sensitivity,bridge_sensitivity,SHARE,SHARE_C4,4,6774,18.81,elevated-burden with spared functional,caveat,Sensitivity caveat retained; interpret as a baseline domain-profile label and do not use mortality signal to define the class.,0.32,0.84,0.66,0.86,28.64,2.51 (2.22-2.84),28.9,1.10 (1.00-1.22),27.21,2.55 (2.21-2.95),0,locked_with_caveat_auto_v0,Keep baseline domain-profile name; avoid mortality-driven interpretation and report sensitivity caveat.
functional_bridge_wave_adjusted_sensitivity,bridge_sensitivity,SHARE,SHARE_C5,5,3068,8.52,functional/cognitive-dominant high-burden,caveat,Sensitivity caveat retained; interpret as a baseline domain-profile label and do not use mortality signal to define the class.,2.23,1.02,0.64,0.4,16.73,1.21 (1.01-1.45),30.13,1.18 (1.03-1.35),41.05,3.64 (3.13-4.24),1,locked_with_caveat_auto_v0,Keep baseline domain-profile name; avoid mortality-driven interpretation and report sensitivity caveat.
